ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 11648531 3017 638011 0 -16624 0 0 -231422
0 11640528 3017 658137 0 -16597 0 0 -231288
0 11922220 3017 678267 0 -16522 0 0 -230915
0 12627384 3017 698397 0 -16399 0 0 -230304
0 12967593 3017 718525 0 -16230 0 0 -229465
0 12959815 3017 738654 0 -16013 0 0 -228387
0 12785240 3017 758784 0 -15749 0 0 -227075
0 12184915 3017 778913 0 -15438 0 0 -225530
0 11706761 3017 799041 0 -15080 0 0 -223751
0 11639383 3017 819170 0 -14674 0 0 -221734
0 11717175 3017 839301 0 -14222 0 0 11933
0 11778758 3017 859429 0 -13722 0 0 14283
0 11973086 3017 879558 0 -13175 0 0 16628
0 12390645 3017 899687 16 -12600 0 0 18873
0 12752164 3017 919816 16 -12025 0 0 20890
0 12920960 3017 939945 16 -11450 0 0 22669
0 12940184 3017 960074 16 -10875 0 0 24214
0 12955471 3017 980203 16 -10300 0 0 25525
0 12980380 3018 332 16 -9725 0 0 26603
0 12991862 3018 20461 16 -9150 0 0 27443
0 12993985 3018 40590 16 -8575 0 0 28054
0 12993871 3018 60719 16 -8001 0 0 28422
0 12991403 3018 80848 16 -7426 0 0 28561
0 12958961 3018 100977 16 -6851 0 0 28561
0 12854822 3018 121106 16 -6276 0 0 28561
0 12661040 3018 141235 16 -5700 0 0 28566
0 12494063 3018 161364 16 -5125 0 0 28566
0 12358904 3018 181493 16 -4551 0 0 28561
0 12199724 3018 201622 16 -3976 0 0 28561
0 12209302 3018 221751 16 -3401 0 0 28561
0 12236080 3018 241880 16 -2826 0 0 28561
0 12303828 3018 262011 16 -2251 0 0 28565
0 12397110 3018 282140 16 -1676 0 0 28565
0 12430657 3018 302269 16 -1101 0 0 28565
0 12327692 3018 322396 16 -526 0 0 28566
0 12380359 3018 342527 16 49 0 0 28560
0 12455925 3018 362654 16 624 0 0 28561
0 12434554 3018 382783 16 1199 0 0 28566
0 12467384 3018 402913 16 1774 0 0 28565
0 12513035 3018 423043 16 2349 0 0 28565
0 12447164 3018 443170 16 2924 0 0 28566
0 12408058 3018 463300 16 3499 0 0 28566
0 12435048 3018 483428 16 4074 0 0 28566
0 12464798 3018 503555 16 4649 0 0 28566
0 12479860 3018 523685 16 5224 0 0 28566
0 12570899 3018 543815 16 5799 0 0 28566
0 12541725 3018 563944 16 6374 0 0 28566
0 12470940 3018 584072 16 6949 0 0 28566
0 12441972 3018 604202 16 7524 0 0 28566
0 12406533 3018 624330 16 8099 0 0 28566
0 12399960 3018 644460 16 8674 0 0 28566
0 12548797 3018 664589 16 9248 0 0 28561
0 12180468 3018 684717 16 9823 0 0 28561
0 12372946 3018 704847 16 10398 0 0 28560
0 12205270 3018 724975 16 10973 0 0 28561
0 11747516 3018 745104 16 11548 0 0 28561
