ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8407907 1772 496253 0 -4150839 0 0 -22250194
0 8407897 1772 516382 0 -4150812 0 0 -22250060
0 8407902 1772 536513 0 -4150736 0 0 -22249682
0 8407904 1772 556642 0 -4150614 0 0 -22249076
0 8407899 1772 576771 0 -4150444 0 0 -22248231
0 8407894 1772 596900 0 -4150227 0 0 -22247153
0 8407899 1772 617029 0 -4149963 0 0 -22245842
0 8407894 1772 637156 0 -4149652 0 0 -22244297
0 8407901 1772 657286 0 -4149293 0 0 -22242513
0 8407902 1772 677415 0 -4148888 0 0 -22240501
0 8407905 1772 697544 0 -4148435 0 0 11943
0 8407901 1772 717673 0 -4147935 0 0 14293
0 8407898 1772 737803 0 -4147388 0 0 16633
0 8407930 1772 757930 0 -4146794 0 0 18978
0 8407904 1772 778059 0 -4146152 0 0 21323
0 8407905 1772 798191 0 -4145464 0 0 23662
0 8407907 1772 818320 4 -4144728 0 0 26007
0 8407900 1772 838449 4 -4143945 0 0 28352
0 8407900 1772 858577 4 -4143115 0 0 30692
0 8407891 1772 878707 4 -4142238 0 0 33037
0 8407903 1772 898834 0 -4141313 0 0 35382
0 8407905 1772 918963 0 -4140351 0 0 37677
0 8407897 1772 939094 0 -4139377 0 0 39798
0 8407903 1772 959220 0 -4138391 0 0 41746
0 8407900 1772 979351 0 -4137392 0 0 43519
0 8407893 1772 999479 0 -4136383 0 0 45114
0 8407903 1773 19608 0 -4135361 0 0 46535
0 8407907 1773 39737 0 -4134327 0 0 47782
0 8407892 1773 59867 0 -4133282 0 0 48850
0 8407910 1773 79994 0 -4132225 0 0 49745
0 8407904 1773 100123 0 -4131156 0 0 50460
0 8407900 1773 120253 0 -4130075 0 0 51051
0 8407898 1773 140382 0 -4128983 0 0 51637
0 8407900 1773 160510 0 -4127879 0 0 52223
0 8407902 1773 180639 0 -4126763 0 0 52805
0 8407902 1773 200768 0 -4125635 0 0 53396
0 8407901 1773 220897 0 -4124495 0 0 53982
0 8407898 1773 241027 0 -4123344 0 0 54563
0 8407910 1773 261156 0 -4122180 0 0 55154
0 8407899 1773 281285 0 -4121005 0 0 55740
0 8407901 1773 301414 0 -4119819 0 0 56321
0 8407893 1773 321543 0 -4118620 0 0 56908
0 8407906 1773 341672 0 -4117410 0 0 57494
0 8407895 1773 361801 0 -4116187 0 0 58085
0 8407897 1773 381930 0 -4114953 0 0 58672
0 8407897 1773 402059 0 -4113707 0 0 59258
0 8407894 1773 422188 0 -4112450 0 0 59839
0 8407900 1773 442317 0 -4111181 0 0 60425
0 8407898 1773 462446 0 -4109900 0 0 61006
0 8407899 1773 482576 0 -4108607 0 0 61592
0 8407903 1773 502705 0 -4107302 0 0 62184
0 8407910 1773 522832 0 -4105985 0 0 62770
0 8407901 1773 542962 0 -4104656 0 0 63361
0 8407896 1773 563091 0 -4103317 0 0 63937
0 8407897 1773 583220 0 -4101965 0 0 64524
0 8407898 1773 603351 0 -4100601 0 0 65109
0 8407901 1773 623481 0 -4099226 0 0 65695
0 8407900 1773 643610 0 -4097838 0 0 66286
0 8407895 1773 663737 0 -4096439 0 0 66873
0 8407896 1773 683864 0 -4095028 0 0 67461
0 8407902 1773 703994 0 -4093606 0 0 68041
0 8407894 1773 724125 0 -4092171 0 0 68626
0 8407897 1773 744252 0 -4090725 0 0 69209
0 8407893 1773 764381 0 -4089267 0 0 69800
0 8407902 1773 784513 0 -4087797 0 0 70385
0 8407903 1773 804638 0 -4086316 0 0 70968
0 8407905 1773 824768 0 -4084822 0 0 71559
0 8407908 1773 844897 0 -4083317 0 0 72141
0 8407900 1773 865026 0 -4081800 0 0 72726
0 8407901 1773 885155 0 -4080271 0 0 73312
0 8407901 1773 905285 0 -4078731 0 0 73898
0 8407902 1773 925412 0 -4077178 0 0 74486
0 8407900 1773 945541 0 -4075614 0 0 75071
0 8407896 1773 965671 0 -4074038 0 0 75657
0 8407903 1773 985800 0 -4072450 0 0 76244
0 8407906 1774 5930 0 -4070851 0 0 76829
0 8407896 1774 26057 0 -4069239 0 0 77416
0 8407891 1774 46186 0 -4067616 0 0 78002
0 8407898 1774 66317 0 -4065982 0 0 78583
0 8407905 1774 86446 0 -4064335 0 0 79169
0 8407895 1774 106575 0 -4062676 0 0 79761
0 8407895 1774 126702 0 -4061006 0 0 80342
0 8407902 1774 146831 0 -4059324 0 0 80928
0 8407907 1774 166960 0 -4057630 0 0 81515
0 8407901 1774 187089 0 -4055924 0 0 82101
0 8407902 1774 207220 0 -4054206 0 0 82692
0 8407901 1774 227349 0 -4052477 0 0 83272
0 8407899 1774 247478 0 -4050736 0 0 83859
0 8407905 1774 267607 0 -4048984 0 0 84445
0 8407901 1774 287734 0 -4047219 0 0 85032
0 8407906 1774 307863 0 -4045442 0 0 85618
0 8407899 1774 327993 0 -4043654 0 0 86204
0 8407902 1774 348122 0 -4041854 0 0 86790
0 8407892 1774 368251 0 -4040042 0 0 87376
0 8407902 1774 388380 0 -4038219 0 0 87957
0 8407903 1774 408510 0 -4036383 0 0 88543
0 8407898 1774 428641 0 -4034536 0 0 89129
0 8407898 1774 448768 0 -4032677 0 0 89716
0 8407908 1774 468897 0 -4030807 0 0 90303
0 8407904 1774 489024 0 -4028924 0 0 90889
0 8407899 1774 509156 0 -4027029 0 0 91474
0 8407904 1774 529285 0 -4025124 0 0 92055
0 8407893 1774 549412 0 -4023205 0 0 92647
