ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8925050 471 94437 0 -7928097 0 0 -39541136
0 8930053 471 114569 0 -7928070 0 0 -39541002
0 8909684 471 134696 0 -7927994 0 0 -39540624
0 8925649 471 154825 0 -7927872 0 0 -39540018
0 9108234 471 174957 0 -7927702 0 0 -39539174
0 9197203 471 195081 0 -7927485 0 0 -39538095
0 9079545 471 215214 0 -7927221 0 0 -39536784
0 8914294 471 235341 0 -7926910 0 0 -39535239
0 8947871 471 255470 0 -7926552 0 0 -39533460
0 9102486 471 275598 0 -7926146 0 0 -39531443
0 9203958 471 295728 0 -7925693 0 0 11943
0 9090691 471 315857 0 -7925194 0 0 14288
0 8919344 471 335986 0 -7924646 0 0 16633
0 9014752 471 356115 16 -7924072 0 0 18878
0 9183145 471 376244 16 -7923497 0 0 20890
0 9204785 471 396372 16 -7922922 0 0 22669
0 9202221 471 416501 16 -7922347 0 0 24214
0 9209035 471 436630 16 -7921772 0 0 25525
0 9134274 471 456759 16 -7921197 0 0 26603
0 9036810 471 476888 16 -7920622 0 0 27443
0 8950017 471 497016 16 -7920047 0 0 28049
0 8891220 471 517147 16 -7919472 0 0 28427
0 8930544 471 537276 16 -7918897 0 0 28561
0 9062928 471 557405 16 -7918322 0 0 28566
0 9182983 471 577534 16 -7917747 0 0 28566
0 9216591 471 597663 16 -7917172 0 0 28566
0 9224311 471 617793 16 -7916597 0 0 28566
0 9219937 471 637922 16 -7916022 0 0 28566
0 9220992 471 658051 16 -7915447 0 0 28566
0 9225853 471 678179 16 -7914872 0 0 28566
0 9226078 471 698307 16 -7914297 0 0 28566
0 9208401 471 718436 16 -7913722 0 0 28566
0 9082995 471 738565 16 -7913147 0 0 28566
0 8938353 471 758694 16 -7912572 0 0 28566
0 8885752 471 778823 16 -7911997 0 0 28566
0 8902758 471 798951 16 -7911422 0 0 28566
0 8953387 471 819082 16 -7910847 0 0 28566
0 9065042 471 839213 16 -7910272 0 0 28565
0 9161220 471 859342 16 -7909697 0 0 28565
0 9216229 471 879471 16 -7909122 0 0 28565
0 9201110 471 899600 16 -7908547 0 0 28565
0 9105292 471 919729 16 -7907972 0 0 28565
0 9008058 471 939856 16 -7907397 0 0 28566
0 8956637 471 959987 16 -7906822 0 0 28565
0 8895435 471 980117 16 -7906247 0 0 28565
0 8894420 472 242 16 -7905672 0 0 28566
0 8950068 472 20374 16 -7905098 0 0 28561
0 9034564 472 40501 16 -7904523 0 0 28561
0 9127015 472 60630 16 -7903948 0 0 28561
0 9196146 472 80758 16 -7903373 0 0 28561
0 9222275 472 100888 16 -7902798 0 0 28561
0 9197494 472 121017 16 -7902223 0 0 28561
0 9139521 472 141146 16 -7901648 0 0 28561
0 9042312 472 161275 16 -7901073 0 0 28561
0 8955229 472 181403 16 -7900498 0 0 28561
0 8903147 472 201532 16 -7899923 0 0 28561
0 8884214 472 221661 16 -7899348 0 0 28566
