ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 626373 0 0 16 -7924072 0 0 0
0 794766 0 0 16 -7923497 0 0 0
0 816406 0 0 16 -7922922 0 0 0
0 813842 0 0 16 -7922347 0 0 0
0 820656 0 0 16 -7921772 0 0 0
0 745895 0 0 16 -7921197 0 0 0
0 648431 0 0 16 -7920622 0 0 0
0 561638 0 0 16 -7920047 0 0 0
0 502841 0 0 16 -7919472 0 0 0
0 542165 0 0 16 -7918897 0 0 0
0 674549 0 0 16 -7918322 0 0 0
0 794604 0 0 16 -7917747 0 0 0
0 828212 0 0 16 -7917172 0 0 0
0 835932 0 0 16 -7916597 0 0 0
0 831558 0 0 16 -7916022 0 0 0
0 832613 0 0 16 -7915447 0 0 0
0 837474 0 0 16 -7914872 0 0 0
0 837699 0 0 16 -7914297 0 0 0
0 820022 0 0 16 -7913722 0 0 0
0 694616 0 0 16 -7913147 0 0 0
0 549974 0 0 16 -7912572 0 0 0
0 497373 0 0 16 -7911997 0 0 0
0 514379 0 0 16 -7911422 0 0 0
0 565008 0 0 16 -7910847 0 0 0
0 676663 0 0 16 -7910272 0 0 0
0 772841 0 0 16 -7909697 0 0 0
0 827850 0 0 16 -7909122 0 0 0
0 812731 0 0 16 -7908547 0 0 0
0 716913 0 0 16 -7907972 0 0 0
0 619679 0 0 16 -7907397 0 0 0
0 568258 0 0 16 -7906822 0 0 0
0 507056 0 0 16 -7906247 0 0 0
0 506041 0 0 16 -7905672 0 0 0
0 561689 0 0 16 -7905098 0 0 0
0 646185 0 0 16 -7904523 0 0 0
0 738636 0 0 16 -7903948 0 0 0
0 807767 0 0 16 -7903373 0 0 0
0 833896 0 0 16 -7902798 0 0 0
0 809115 0 0 16 -7902223 0 0 0
0 751142 0 0 16 -7901648 0 0 0
0 653933 0 0 16 -7901073 0 0 0
0 566850 0 0 16 -7900498 0 0 0
0 514768 0 0 16 -7899923 0 0 0
0 495835 0 0 16 -7899348 0 0 0
0 534081 0 0 16 -7898773 0 0 0
0 610156 0 0 16 -7898198 0 0 0
0 679579 0 0 16 -7897623 0 0 0
0 769722 0 0 16 -7897048 0 0 0
0 821286 0 0 16 -7896473 0 0 0
0 834127 0 0 16 -7895898 0 0 0
0 800812 0 0 16 -7895323 0 0 0
0 728737 0 0 16 -7894748 0 0 0
0 638398 0 0 16 -7894173 0 0 0
0 562691 0 0 16 -7893598 0 0 0
0 512271 0 0 16 -7893023 0 0 0
0 493393 0 0 16 -7892448 0 0 0
0 511020 0 0 16 -7891873 0 0 0
0 572417 0 0 16 -7891298 0 0 0
0 656821 0 0 16 -7890723 0 0 0
0 727221 0 0 16 -7890148 0 0 0
0 790219 0 0 16 -7889573 0 0 0
0 824626 0 0 16 -7888998 0 0 0
0 835803 0 0 16 -7888423 0 0 0
0 808918 0 0 16 -7887848 0 0 0
0 751716 0 0 16 -7887273 0 0 0
0 690293 0 0 16 -7886698 0 0 0
0 618704 0 0 16 -7886123 0 0 0
0 553528 0 0 16 -7885548 0 0 0
0 510346 0 0 16 -7884973 0 0 0
0 492867 0 0 16 -7884398 0 0 0
0 507340 0 0 16 -7883824 0 0 0
0 543259 0 0 16 -7883249 0 0 0
0 601401 0 0 16 -7882674 0 0 0
0 656309 0 0 16 -7882099 0 0 0
0 727559 0 0 16 -7881524 0 0 0
0 789267 0 0 16 -7880949 0 0 0
0 824324 0 0 16 -7880374 0 0 0
0 835927 0 0 16 -7879799 0 0 0
0 825824 0 0 16 -7879224 0 0 0
0 795734 0 0 16 -7878649 0 0 0
0 747074 0 0 16 -7878074 0 0 0
0 694472 0 0 16 -7877499 0 0 0
0 631279 0 0 16 -7876924 0 0 0
0 565047 0 0 16 -7876349 0 0 0
0 516603 0 0 16 -7875774 0 0 0
0 495698 0 0 16 -7875199 0 0 0
0 495726 0 0 16 -7874624 0 0 0
0 519225 0 0 16 -7874049 0 0 0
0 565112 0 0 16 -7873474 0 0 0
0 627690 0 0 16 -7872899 0 0 0
0 714337 0 0 16 -7872324 0 0 0
0 763950 0 0 16 -7871749 0 0 0
0 804732 0 0 16 -7871174 0 0 0
0 828500 0 0 16 -7870599 0 0 0
0 836932 0 0 16 -7870024 0 0 0
0 823967 0 0 16 -7869449 0 0 0
0 791100 0 0 16 -7868874 0 0 0
0 741108 0 0 16 -7868299 0 0 0
0 672060 0 0 16 -7867724 0 0 0
0 609119 0 0 16 -7867149 0 0 0
0 561629 0 0 16 -7866574 0 0 0
0 517722 0 0 16 -7865999 0 0 0
0 493538 0 0 16 -7865424 0 0 0
0 491621 0 0 16 -7864849 0 0 0
0 513055 0 0 16 -7864274 0 0 0
0 540300 0 0 16 -7863699 0 0 0
0 580266 0 0 16 -7863124 0 0 0
0 641523 0 0 16 -7862549 0 0 0
0 706794 0 0 16 -7861974 0 0 0
0 765467 0 0 16 -7861399 0 0 0
0 797327 0 0 16 -7860825 0 0 0
