ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 11577863 34 746209 0 358409 0 0 1631760
0 11737797 34 766339 0 358436 0 0 1631894
0 12388910 34 786467 0 358512 0 0 1632272
0 12911496 34 806595 0 358634 0 0 1632878
0 13035127 34 826726 0 358804 0 0 1633722
0 13012069 34 846854 0 359021 0 0 1634801
0 12998928 34 866983 0 359285 0 0 1636112
0 12413375 34 887113 0 359596 0 0 1637657
0 12075890 34 907241 0 359954 0 0 1639436
0 11921765 34 927371 0 360359 0 0 1641448
0 11720566 34 947499 0 360812 0 0 11938
0 11794957 34 967628 0 361312 0 0 14288
0 11556546 34 987757 0 361859 0 0 16628
0 11751801 35 7885 16 362434 0 0 18878
0 12662089 35 28016 16 363009 0 0 20890
0 12732770 35 48145 16 363584 0 0 22669
0 12506128 35 68273 16 364159 0 0 24214
0 12216421 35 88403 16 364734 0 0 25525
0 12349290 35 108531 16 365309 0 0 26603
0 12881818 35 128659 16 365884 0 0 27448
0 13035254 35 148789 16 366459 0 0 28054
0 13033806 35 168917 16 367034 0 0 28427
0 13029602 35 189047 16 367609 0 0 28566
0 13033093 35 209178 16 368184 0 0 28565
0 12987470 35 229306 16 368759 0 0 28566
0 12845533 35 249434 16 369333 0 0 28561
0 12696920 35 269566 16 369908 0 0 28560
0 12478930 35 289695 16 370483 0 0 28561
0 12254191 35 309824 16 371058 0 0 28560
0 11898733 35 329951 16 371633 0 0 28560
0 11542013 35 350080 16 372208 0 0 28561
0 11354434 35 370211 16 372783 0 0 28560
0 11253635 35 390337 16 373358 0 0 28561
0 11263813 35 410468 16 373933 0 0 28561
0 11308473 35 430597 16 374508 0 0 28560
0 11407423 35 450724 16 375083 0 0 28566
0 11646769 35 470855 16 375658 0 0 28566
0 11755824 35 490982 16 376233 0 0 28566
0 11965910 35 511113 16 376808 0 0 28566
0 12237481 35 531241 16 377383 0 0 28566
0 12440507 35 551369 16 377958 0 0 28566
0 12589144 35 571498 16 378533 0 0 28566
0 12677299 35 591626 16 379108 0 0 28566
0 12762801 35 611758 16 379683 0 0 28566
0 12894402 35 631886 16 380258 0 0 28566
0 12968147 35 652015 16 380833 0 0 28565
0 12962477 35 672143 16 381408 0 0 28566
0 12953618 35 692273 16 381983 0 0 28566
0 12946733 35 712401 16 382558 0 0 28566
0 12975885 35 732529 16 383133 0 0 28566
0 13015503 35 752659 16 383708 0 0 28566
0 13001583 35 772788 16 384283 0 0 28566
0 12911197 35 792918 16 384858 0 0 28565
0 11592006 35 813046 16 385433 0 0 28566
0 12224650 35 833176 16 386008 0 0 28566
0 12693940 35 853304 16 386583 0 0 28566
0 11461238 35 873433 16 387158 0 0 28566
0 11253402 35 893561 16 387733 0 0 28566
0 11260174 35 913692 16 388308 0 0 28566
