ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 3363422 0 0 16 362434 0 0 0
0 4273710 0 0 16 363009 0 0 0
0 4344391 0 0 16 363584 0 0 0
0 4117749 0 0 16 364159 0 0 0
0 3828042 0 0 16 364734 0 0 0
0 3960911 0 0 16 365309 0 0 0
0 4493439 0 0 16 365884 0 0 0
0 4646875 0 0 16 366459 0 0 0
0 4645427 0 0 16 367034 0 0 0
0 4641223 0 0 16 367609 0 0 0
0 4644714 0 0 16 368184 0 0 0
0 4599091 0 0 16 368759 0 0 0
0 4457154 0 0 16 369333 0 0 0
0 4308541 0 0 16 369908 0 0 0
0 4090551 0 0 16 370483 0 0 0
0 3865812 0 0 16 371058 0 0 0
0 3510354 0 0 16 371633 0 0 0
0 3153634 0 0 16 372208 0 0 0
0 2966055 0 0 16 372783 0 0 0
0 2865256 0 0 16 373358 0 0 0
0 2875434 0 0 16 373933 0 0 0
0 2920094 0 0 16 374508 0 0 0
0 3019044 0 0 16 375083 0 0 0
0 3258390 0 0 16 375658 0 0 0
0 3367445 0 0 16 376233 0 0 0
0 3577531 0 0 16 376808 0 0 0
0 3849102 0 0 16 377383 0 0 0
0 4052128 0 0 16 377958 0 0 0
0 4200765 0 0 16 378533 0 0 0
0 4288920 0 0 16 379108 0 0 0
0 4374422 0 0 16 379683 0 0 0
0 4506023 0 0 16 380258 0 0 0
0 4579768 0 0 16 380833 0 0 0
0 4574098 0 0 16 381408 0 0 0
0 4565239 0 0 16 381983 0 0 0
0 4558354 0 0 16 382558 0 0 0
0 4587506 0 0 16 383133 0 0 0
0 4627124 0 0 16 383708 0 0 0
0 4613204 0 0 16 384283 0 0 0
0 4522818 0 0 16 384858 0 0 0
0 3203627 0 0 16 385433 0 0 0
0 3836271 0 0 16 386008 0 0 0
0 4305561 0 0 16 386583 0 0 0
0 3072859 0 0 16 387158 0 0 0
0 2865023 0 0 16 387733 0 0 0
0 2871795 0 0 16 388308 0 0 0
0 2998799 0 0 16 388883 0 0 0
0 3290492 0 0 16 389458 0 0 0
0 3799112 0 0 16 390033 0 0 0
0 4168385 0 0 16 390608 0 0 0
0 4493957 0 0 16 391183 0 0 0
0 4629158 0 0 16 391757 0 0 0
0 4585742 0 0 16 392332 0 0 0
0 4343564 0 0 16 392907 0 0 0
0 4004363 0 0 16 393482 0 0 0
0 3553101 0 0 16 394057 0 0 0
0 3268032 0 0 16 394632 0 0 0
0 3026385 0 0 16 395207 0 0 0
0 2882655 0 0 16 395782 0 0 0
0 2881369 0 0 16 396357 0 0 0
0 3026870 0 0 16 396932 0 0 0
0 3389326 0 0 16 397507 0 0 0
0 3751683 0 0 16 398082 0 0 0
0 4039134 0 0 16 398657 0 0 0
0 4311458 0 0 16 399232 0 0 0
0 4528905 0 0 16 399807 0 0 0
0 4642953 0 0 16 400382 0 0 0
0 4613432 0 0 16 400957 0 0 0
0 4392530 0 0 16 401532 0 0 0
