ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 10720951 319 755885 8 151552 0 0 -17275323
0 10521672 319 776013 0 4893800 0 0 6285130
0 9719000 319 796143 0 4893773 0 0 6284996
0 9625126 319 816273 0 4893697 0 0 6284618
0 11623373 319 836401 0 4893575 0 0 6284012
0 14337025 319 856530 0 4893405 0 0 6283167
0 13743097 319 876659 0 4893189 0 0 6282094
0 11897850 319 896790 0 4892925 0 0 6280783
0 11328269 319 916918 0 4892614 0 0 6279238
0 10490681 319 937049 0 4892255 0 0 6277455
0 9486574 319 957178 0 4891850 0 0 23550766
0 9870125 319 977307 0 4891397 0 0 -11938
0 9828581 319 997434 0 4890897 0 0 -14288
0 9722236 320 17564 0 4890351 0 0 -16623
0 9611115 320 37694 0 4889757 0 0 -18967
0 9507961 320 57820 0 4889115 0 0 -21313
0 9948449 320 77950 4 4888427 0 0 -23657
0 11484971 320 98081 4 4887691 0 0 -26002
0 12184659 320 118207 4 4886908 0 0 -28347
0 12365638 320 138337 4 4886078 0 0 -30687
0 12430824 320 158465 4 4885201 0 0 -33032
0 12575354 320 178595 0 4884277 0 0 -35372
0 12830003 320 198723 0 4883315 0 0 -37667
0 13396400 320 218852 0 4882341 0 0 -39794
0 14247359 320 238982 0 4881355 0 0 -41741
0 14532305 320 259110 0 4880356 0 0 -43514
0 14629326 320 279241 0 4879346 0 0 -45114
0 14819151 320 299367 0 4878325 0 0 -46531
0 14812420 320 319498 0 4877291 0 0 -47777
0 14806021 320 339628 0 4876246 0 0 -48845
0 14866248 320 359756 0 4875189 0 0 -49739
0 14880336 320 379885 0 4874120 0 0 -50460
0 14863242 320 400013 0 4873039 0 0 -51051
0 14856333 320 420143 0 4871947 0 0 -51637
0 14602240 320 440270 0 4870843 0 0 -52224
0 13915478 320 460400 0 4869727 0 0 -52804
0 13700924 320 480530 0 4868599 0 0 -53391
0 12634119 320 500658 0 4867459 0 0 -53982
0 13121099 320 520787 0 4866308 0 0 -54563
0 12414851 320 540915 0 4865144 0 0 -55155
0 9834696 320 561045 0 4863970 0 0 -55736
0 10492902 320 581175 0 4862783 0 0 -56322
0 13927131 320 601303 0 4861584 0 0 -56908
0 14271721 320 621432 0 4860374 0 0 -57494
0 11155145 320 641561 0 4859152 0 0 -58080
0 9686545 320 661690 0 4857918 0 0 -58667
