ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 4188111 0 0 16 4562972 0 0 0
0 6329808 0 0 16 4560062 0 0 0
0 5312859 0 0 16 4557153 0 0 0
0 1940138 0 0 16 4554244 0 0 0
0 1216704 0 0 16 4551335 0 0 0
0 3636366 0 0 16 4548425 0 0 0
0 6185057 0 0 16 4545516 0 0 0
0 5764727 0 0 16 4542606 0 0 0
0 2883408 0 0 16 4539697 0 0 0
0 1052000 0 0 16 4536788 0 0 0
0 2623288 0 0 16 4533879 0 0 0
0 5770086 0 0 16 4530970 0 0 0
0 6024594 0 0 16 4528060 0 0 0
0 2927778 0 0 16 4525151 0 0 0
0 1066526 0 0 16 4522242 0 0 0
0 2599550 0 0 16 4519332 0 0 0
0 5658997 0 0 16 4516423 0 0 0
0 6299390 0 0 16 4513513 0 0 0
0 3923548 0 0 16 4510604 0 0 0
0 1252804 0 0 16 4507695 0 0 0
0 2046504 0 0 16 4504785 0 0 0
0 4820046 0 0 16 4501876 0 0 0
0 6363933 0 0 16 4498967 0 0 0
0 4266554 0 0 16 4496058 0 0 0
0 1291639 0 0 16 4493148 0 0 0
0 1575243 0 0 16 4490239 0 0 0
0 4228838 0 0 16 4487330 0 0 0
0 6331888 0 0 16 4484421 0 0 0
0 4558703 0 0 16 4481512 0 0 0
0 1615951 0 0 16 4478602 0 0 0
0 1552222 0 0 16 4475693 0 0 0
0 4320829 0 0 16 4472784 0 0 0
0 6419634 0 0 16 4469874 0 0 0
0 4898741 0 0 16 4466965 0 0 0
0 2050714 0 0 16 4464056 0 0 0
0 1182885 0 0 16 4461147 0 0 0
0 4223486 0 0 16 4458238 0 0 0
0 6373736 0 0 16 4455328 0 0 0
0 5338634 0 0 16 4452420 0 0 0
0 2191248 0 0 16 4449510 0 0 0
0 1069681 0 0 16 4446600 0 0 0
0 3492292 0 0 16 4443691 0 0 0
0 6215478 0 0 16 4440782 0 0 0
0 5714103 0 0 16 4437873 0 0 0
0 2739288 0 0 16 4434964 0 0 0
0 986443 0 0 16 4432054 0 0 0
0 2632180 0 0 16 4429145 0 0 0
0 5716237 0 0 16 4426236 0 0 0
0 6091818 0 0 16 4423326 0 0 0
0 3579816 0 0 16 4420417 0 0 0
0 1154932 0 0 16 4417508 0 0 0
0 2128249 0 0 16 4414599 0 0 0
0 5523672 0 0 16 4411689 0 0 0
0 6084430 0 0 16 4408780 0 0 0
0 3750480 0 0 16 4405871 0 0 0
0 1208228 0 0 16 4402961 0 0 0
0 1996388 0 0 16 4400052 0 0 0
0 5177192 0 0 16 4397143 0 0 0
0 6313372 0 0 16 4394234 0 0 0
0 3703904 0 0 16 4391324 0 0 0
0 1214986 0 0 16 4388415 0 0 0
0 2007737 0 0 16 4385505 0 0 0
0 5286359 0 0 16 4382596 0 0 0
0 6494643 0 0 16 4379687 0 0 0
0 4524847 0 0 16 4376778 0 0 0
0 1478504 0 0 16 4373869 0 0 0
0 1522883 0 0 16 4370959 0 0 0
0 4310419 0 0 16 4368050 0 0 0
0 6486406 0 0 16 4365141 0 0 0
0 4918633 0 0 16 4362231 0 0 0
0 1977374 0 0 16 4359322 0 0 0
0 1267719 0 0 16 4356413 0 0 0
0 3983960 0 0 16 4353504 0 0 0
0 6413199 0 0 16 4350595 0 0 0
0 5319150 0 0 16 4347685 0 0 0
0 2129885 0 0 16 4344776 0 0 0
0 1391763 0 0 16 4341867 0 0 0
0 4032688 0 0 16 4338957 0 0 0
0 6359799 0 0 16 4336048 0 0 0
0 5346833 0 0 16 4333139 0 0 0
0 2100650 0 0 16 4330230 0 0 0
0 1021199 0 0 16 4327321 0 0 0
0 3492302 0 0 16 4324411 0 0 0
0 6375870 0 0 16 4321502 0 0 0
0 5384780 0 0 16 4318593 0 0 0
0 2575799 0 0 16 4315683 0 0 0
0 1034149 0 0 16 4312774 0 0 0
0 3866323 0 0 16 4309865 0 0 0
0 6295944 0 0 16 4306956 0 0 0
0 5142228 0 0 16 4304046 0 0 0
0 2115838 0 0 16 4301137 0 0 0
0 1053482 0 0 16 4298228 0 0 0
0 3532875 0 0 16 4295319 0 0 0
0 6084757 0 0 16 4292409 0 0 0
0 5863894 0 0 16 4289500 0 0 0
0 2445190 0 0 16 4286591 0 0 0
0 960200 0 0 16 4283682 0 0 0
0 3404058 0 0 16 4280772 0 0 0
0 5713891 0 0 16 4277863 0 0 0
0 5632388 0 0 16 4274953 0 0 0
0 2668881 0 0 16 4272043 0 0 0
0 1104064 0 0 16 4269134 0 0 0
0 3193121 0 0 16 4266226 0 0 0
0 5925870 0 0 16 4263316 0 0 0
0 6030033 0 0 16 4260407 0 0 0
