ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8461732 8706626 1296 136052 8 29952 0 0 49600216
8461474 8706858 1296 156182 0 -12606198 0 0 -13172511
8460260 8707030 1296 176312 0 -12606171 0 0 -13172377
8459512 8709873 1296 196441 0 -12606095 0 0 -13172000
8461434 8714989 1296 216570 0 -12605973 0 0 -13171394
8464730 8717249 1296 236699 0 -12605803 0 0 -13170549
8465264 8713559 1296 256828 0 -12605586 0 0 -13169471
8463252 8708964 1296 276959 0 -12605322 0 0 -13168160
8460361 8706018 1296 297088 0 -12605011 0 0 -13166615
8462726 8714201 1296 317217 0 -12604652 0 0 -13164831
8465477 8718460 1296 337346 0 -12604247 0 0 -62763035
8464482 8714516 1296 357475 0 -12603794 0 0 11943
8463071 8710409 1296 377604 0 -12603294 0 0 14293
8462512 8708905 1296 397733 0 -12602747 0 0 16633
8462745 8709588 1296 417862 16 -12602172 0 0 18883
8462728 8709597 1296 437989 16 -12601597 0 0 20895
8462721 8709677 1296 458118 16 -12601022 0 0 22674
8462426 8708729 1296 478249 16 -12600447 0 0 24219
8462060 8707832 1296 498376 16 -12599872 0 0 25530
8461702 8706900 1296 518507 16 -12599297 0 0 26603
8462091 8707832 1296 538634 16 -12598722 0 0 27448
8462672 8709265 1296 558762 16 -12598147 0 0 28054
8463331 8711071 1296 578890 16 -12597573 0 0 28422
8464083 8713300 1296 599022 16 -12596997 0 0 28566
8464203 8713561 1296 619148 16 -12596423 0 0 28561
8463970 8712855 1296 639279 16 -12595848 0 0 28561
8463719 8712228 1296 659407 16 -12595273 0 0 28561
8463602 8711889 1296 679535 16 -12594698 0 0 28561
8463743 8712120 1296 699666 16 -12594123 0 0 28561
8462735 8709336 1296 719794 16 -12593548 0 0 28561
8461996 8707553 1296 739923 16 -12592973 0 0 28561
8461616 8706607 1296 760051 16 -12592398 0 0 28561
8461404 8706160 1296 780182 16 -12591823 0 0 28565
8461374 8705993 1296 800310 16 -12591248 0 0 28561
8461148 8705465 1296 820439 16 -12590673 0 0 28566
8461172 8705503 1296 840567 16 -12590098 0 0 28566
8461533 8706489 1296 860696 16 -12589523 0 0 28566
8461441 8706027 1296 880827 16 -12588948 0 0 28565
8461408 8706062 1296 900955 16 -12588373 0 0 28566
8461627 8706484 1296 921083 16 -12587798 0 0 28566
8461717 8706770 1296 941212 16 -12587223 0 0 28566
8462241 8708099 1296 961344 16 -12586648 0 0 28565
8462764 8709483 1296 981471 16 -12586073 0 0 28566
8462731 8709489 1297 1600 16 -12585498 0 0 28566
8462709 8709190 1297 21729 16 -12584923 0 0 28566
8462833 8709751 1297 41860 16 -12584348 0 0 28565
8462917 8709950 1297 61987 16 -12583773 0 0 28566
8462458 8708808 1297 82120 16 -12583198 0 0 28565
8461244 8708774 1297 102249 16 -12582623 0 0 28565
8464773 8715651 1297 122376 16 -12582048 0 0 28565
8462929 8708208 1297 142505 16 -12581473 0 0 28565
8461049 8704311 1297 162636 16 -12580898 0 0 28565
8459636 8703500 1297 182763 16 -12580323 0 0 28565
8459442 8707116 1297 202892 16 -12579748 0 0 28565
8460693 8712303 1297 223023 16 -12579173 0 0 28565
8463268 8717593 1297 243150 16 -12578598 0 0 28566
8465372 8718653 1297 263281 16 -12578023 0 0 28565
8465884 8715443 1297 283408 16 -12577448 0 0 28566
8464364 8709759 1297 303537 16 -12576873 0 0 28566
8462030 8706324 1297 323667 16 -12576298 0 0 28566
8460063 8705870 1297 343793 16 -12575723 0 0 28566
8459321 8707767 1297 363922 16 -12575148 0 0 28566
8460088 8711350 1297 384051 16 -12574574 0 0 28561
8462195 8715099 1297 404179 16 -12573999 0 0 28561
8464432 8717435 1297 424310 16 -12573424 0 0 28561
8465762 8717592 1297 444438 16 -12572849 0 0 28561
8465808 8715932 1297 464566 16 -12572274 0 0 28561
8464337 8712648 1297 484697 16 -12571699 0 0 28561
8462229 8708445 1297 504825 16 -12571124 0 0 28561
8460419 8705142 1297 524954 16 -12570549 0 0 28561
8459259 8703344 1297 545084 16 -12569974 0 0 28561
8459581 8705088 1297 565212 16 -12569399 0 0 28561
8461090 8709443 1297 585340 16 -12568824 0 0 28566
8463071 8714614 1297 605471 16 -12568249 0 0 28565
8464983 8719531 1297 625599 16 -12567674 0 0 28566
8465995 8722115 1297 645727 16 -12567099 0 0 28566
8465698 8720601 1297 665857 16 -12566524 0 0 28566
8464173 8715526 1297 685986 16 -12565949 0 0 28566
8462481 8709883 1297 706116 16 -12565374 0 0 28566
8460879 8705177 1297 726244 16 -12564799 0 0 28566
8459615 8701957 1297 746372 16 -12564224 0 0 28566
8459182 8701607 1297 766503 16 -12563649 0 0 28566
8459885 8705106 1297 786632 16 -12563074 0 0 28566
8461552 8710905 1297 806759 16 -12562499 0 0 28566
8463340 8716007 1297 826888 16 -12561924 0 0 28566
8464899 8719143 1297 847021 16 -12561349 0 0 28565
8465963 8720448 1297 867148 16 -12560774 0 0 28566
8466027 8718622 1297 887277 16 -12560199 0 0 28566
8464971 8714469 1297 907408 16 -12559624 0 0 28566
8463365 8710159 1297 927535 16 -12559049 0 0 28566
8461526 8706597 1297 947666 16 -12558474 0 0 28565
8460092 8704862 1297 967795 16 -12557899 0 0 28566
8459469 8705202 1297 987924 16 -12557324 0 0 28565
8459110 8707088 1298 8053 16 -12556749 0 0 28565
8459549 8709768 1298 28182 16 -12556174 0 0 28565
8460814 8712977 1298 48309 16 -12555599 0 0 28566
8462693 8716313 1298 68440 16 -12555024 0 0 28565
8464284 8717637 1298 88569 16 -12554449 0 0 28565
8465427 8717714 1298 108696 16 -12553874 0 0 28566
8466036 8716014 1298 128827 16 -12553299 0 0 28565
8465824 8713550 1298 148954 16 -12552724 0 0 28566
8464763 8710562 1298 169083 16 -12552149 0 0 28566
8463199 8707766 1298 189212 16 -12551575 0 0 28561
8462028 8706001 1298 209340 16 -12551000 0 0 28561
8460637 8705169 1298 229468 16 -12550425 0 0 28561
8459489 8705127 1298 249599 16 -12549850 0 0 28561
8459137 8705960 1298 269727 16 -12549275 0 0 28561
8459391 8707570 1298 289855 16 -12548700 0 0 28561
8460547 8710855 1298 309986 16 -12548125 0 0 28561
8461769 8713561 1298 330113 16 -12547550 0 0 28561
8463335 8716600 1298 350244 16 -12546975 0 0 28561
8464466 8718541 1298 370372 16 -12546400 0 0 28561
8465630 8720218 1298 390500 16 -12545825 0 0 28566
8466088 8720557 1298 410629 16 -12545250 0 0 28566
8465971 8719754 1298 430759 16 -12544675 0 0 28566
8465040 8717383 1298 450888 16 -12544100 0 0 28566
8464029 8715075 1298 471019 16 -12543525 0 0 28565
8462554 8711480 1298 491145 16 -12542950 0 0 28566
8460955 8707537 1298 511276 16 -12542375 0 0 28566
8459929 8704641 1298 531404 16 -12541800 0 0 28566
8459335 8703126 1298 551532 16 -12541225 0 0 28566
8459083 8702366 1298 571663 16 -12540650 0 0 28566
8459293 8702674 1298 591791 16 -12540075 0 0 28566
8459891 8703783 1298 611920 16 -12539500 0 0 28566
8461080 8706749 1298 632051 16 -12538925 0 0 28566
8462059 8709031 1298 652178 16 -12538350 0 0 28566
8463472 8712509 1298 672307 16 -12537775 0 0 28566
8464885 8715880 1298 692436 16 -12537200 0 0 28566
8465702 8717901 1298 712569 16 -12536625 0 0 28565
8466136 8718906 1298 732696 16 -12536050 0 0 28565
8466232 8719286 1298 752825 16 -12535475 0 0 28565
8465767 8718241 1298 772954 16 -12534900 0 0 28566
8464820 8716315 1298 793083 16 -12534325 0 0 28566
8463283 8713267 1298 813214 16 -12533750 0 0 28565
8461909 8710463 1298 833341 16 -12533175 0 0 28566
8460602 8707964 1298 853470 16 -12532600 0 0 28566
8459778 8706937 1298 873599 16 -12532025 0 0 28565
8459230 8706486 1298 893728 16 -12531450 0 0 28565
8459116 8706973 1298 913857 16 -12530875 0 0 28566
8459293 8707803 1298 933986 16 -12530300 0 0 28566
8459988 8709893 1298 954113 16 -12529725 0 0 28566
8460899 8712263 1298 974242 16 -12529151 0 0 28561
8462056 8714664 1298 994371 16 -12528576 0 0 28561
8463208 8716419 1299 14501 16 -12528001 0 0 28561
8464554 8718072 1299 34629 16 -12527426 0 0 28561
8465369 8718862 1299 54757 16 -12526851 0 0 28561
8466001 8718703 1299 74886 16 -12526276 0 0 28561
8466240 8717709 1299 95018 16 -12525701 0 0 28561
8466148 8715950 1299 115144 16 -12525126 0 0 28561
8465569 8713454 1299 135275 16 -12524551 0 0 28561
8464800 8711029 1299 155403 16 -12523976 0 0 28561
8463899 8708693 1299 175532 16 -12523401 0 0 28566
8462694 8706296 1299 195660 16 -12522826 0 0 28566
8461664 8704513 1299 215791 16 -12522251 0 0 28566
8460727 8703366 1299 235919 16 -12521676 0 0 28566
8459839 8702611 1299 256049 16 -12521101 0 0 28565
8459248 8703074 1299 276177 16 -12520526 0 0 28566
8459032 8704236 1299 296305 16 -12519951 0 0 28566
8459155 8706363 1299 316436 16 -12519376 0 0 28565
