ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8447344 8673590 2574 664397 0 -12606198 0 0 -62775846
8445293 8668337 2574 684526 0 -12606171 0 0 -62775712
8445059 8662760 2574 704655 0 -12606095 0 0 -62775334
8450505 8668616 2574 724784 0 -12605973 0 0 -62774728
8455559 8682141 2574 744914 0 -12605803 0 0 -62773883
8452856 8684687 2574 765045 0 -12605586 0 0 -62772806
8447438 8676450 2574 785171 0 -12605322 0 0 -62771494
8445325 8667561 2574 805300 0 -12605011 0 0 -62769949
8452885 8676218 2574 825432 0 -12604652 0 0 -62768165
8453898 8680147 2574 845561 0 -12604247 0 0 -62766154
8450795 8675512 2574 865690 0 -12603794 0 0 11943
8448863 8672120 2574 885819 0 -12603294 0 0 14293
8447589 8669837 2574 905948 0 -12602747 0 0 16632
8446919 8668736 2574 926078 16 -12602172 0 0 18883
8446725 8668452 2574 946207 16 -12601597 0 0 20895
8446637 8668130 2574 966335 16 -12601022 0 0 22674
8446296 8667715 2574 986464 16 -12600447 0 0 24219
8445613 8666508 2575 6593 16 -12599872 0 0 25530
8445259 8665875 2575 26723 16 -12599297 0 0 26603
8445766 8667003 2575 46852 16 -12598722 0 0 27448
8446597 8668266 2575 66978 16 -12598147 0 0 28054
8447391 8669636 2575 87107 16 -12597572 0 0 28427
8448503 8671584 2575 107236 16 -12596997 0 0 28566
8448839 8672021 2575 127364 16 -12596422 0 0 28566
8448572 8671427 2575 147496 16 -12595847 0 0 28566
8448184 8670937 2575 167623 16 -12595272 0 0 28566
8448096 8670602 2575 187752 16 -12594697 0 0 28566
8448265 8670538 2575 207880 16 -12594123 0 0 28561
8446355 8667511 2575 228012 16 -12593547 0 0 28566
8445223 8665895 2575 248138 16 -12592973 0 0 28561
8444842 8665220 2575 268270 16 -12592398 0 0 28561
8444693 8665064 2575 288397 16 -12591823 0 0 28561
8444654 8665146 2575 308526 16 -12591248 0 0 28561
8444622 8665001 2575 328654 16 -12590673 0 0 28561
8444681 8665157 2575 348786 16 -12590098 0 0 28561
8444779 8665358 2575 368913 16 -12589523 0 0 28561
8444872 8665469 2575 389044 16 -12588948 0 0 28561
8444897 8665411 2575 409173 16 -12588373 0 0 28565
8445021 8665587 2575 429300 16 -12587798 0 0 28561
8445144 8665837 2575 449429 16 -12587223 0 0 28566
8445663 8666745 2575 469557 16 -12586648 0 0 28566
8446179 8667764 2575 489688 16 -12586073 0 0 28566
8446661 8668464 2575 509816 16 -12585498 0 0 28566
8446934 8668715 2575 529944 16 -12584923 0 0 28566
8447216 8669268 2575 550075 16 -12584348 0 0 28566
8447342 8669494 2575 570204 16 -12583773 0 0 28566
8446921 8668730 2575 590333 16 -12583198 0 0 28566
8448472 8672511 2575 610462 16 -12582623 0 0 28566
8451762 8677728 2575 630592 16 -12582048 0 0 28565
8445996 8669326 2575 650722 16 -12581473 0 0 28565
8444268 8666646 2575 670851 16 -12580898 0 0 28565
8445437 8666817 2575 690979 16 -12580323 0 0 28566
8449392 8669643 2575 711109 16 -12579748 0 0 28565
8453411 8673719 2575 731238 16 -12579173 0 0 28565
8456111 8678512 2575 751366 16 -12578598 0 0 28565
8455672 8681811 2575 771496 16 -12578023 0 0 28565
8452280 8682127 2575 791624 16 -12577448 0 0 28566
8447519 8678191 2575 811752 16 -12576873 0 0 28566
8444613 8672341 2575 831883 16 -12576298 0 0 28566
8444537 8667457 2575 852012 16 -12575723 0 0 28566
8446712 8666187 2575 872140 16 -12575148 0 0 28566
8451107 8670022 2575 892266 16 -12574573 0 0 28566
8454928 8676946 2575 912397 16 -12573998 0 0 28566
8456386 8682883 2575 932526 16 -12573423 0 0 28566
8454748 8683376 2575 952653 16 -12572848 0 0 28566
8451206 8678578 2575 972784 16 -12572273 0 0 28566
8447104 8670328 2575 992913 16 -12571698 0 0 28566
8444303 8663214 2576 13042 16 -12571123 0 0 28566
8443943 8661691 2576 33171 16 -12570549 0 0 28561
8446094 8665980 2576 53298 16 -12569974 0 0 28561
8449723 8673111 2576 73429 16 -12569399 0 0 28561
8453535 8681123 2576 93558 16 -12568824 0 0 28561
8456149 8686046 2576 113687 16 -12568249 0 0 28561
8456256 8685592 2576 133816 16 -12567674 0 0 28561
8454869 8682284 2576 153945 16 -12567099 0 0 28561
8451642 8675382 2576 174074 16 -12566524 0 0 28561
8447468 8667753 2576 194203 16 -12565949 0 0 28561
8444889 8664365 2576 214332 16 -12565374 0 0 28561
8444023 8664121 2576 234459 16 -12564799 0 0 28566
8444804 8666909 2576 254590 16 -12564224 0 0 28566
8447226 8671521 2576 274719 16 -12563649 0 0 28566
8450682 8676729 2576 294848 16 -12563074 0 0 28566
8454178 8680700 2576 314977 16 -12562499 0 0 28566
8456245 8682633 2576 335104 16 -12561924 0 0 28566
8456457 8682242 2576 355235 16 -12561349 0 0 28566
8455082 8680493 2576 375363 16 -12560774 0 0 28566
8452429 8677914 2576 395492 16 -12560199 0 0 28566
8448841 8674529 2576 415622 16 -12559624 0 0 28566
8445747 8671089 2576 435750 16 -12559049 0 0 28566
8444174 8668933 2576 455880 16 -12558474 0 0 28566
8444153 8667726 2576 476012 16 -12557899 0 0 28565
8445062 8667516 2576 496139 16 -12557324 0 0 28566
8447477 8668102 2576 516270 16 -12556749 0 0 28565
8449966 8669610 2576 536397 16 -12556174 0 0 28565
8453092 8672751 2576 556525 16 -12555599 0 0 28566
8455723 8676932 2576 576657 16 -12555024 0 0 28565
8456597 8680258 2576 596784 16 -12554449 0 0 28565
8456207 8681805 2576 616912 16 -12553874 0 0 28566
8454436 8682316 2576 637042 16 -12553299 0 0 28565
8451420 8680397 2576 657170 16 -12552724 0 0 28566
8448335 8677151 2576 677302 16 -12552149 0 0 28566
8445614 8672904 2576 697427 16 -12551574 0 0 28566
8444330 8669711 2576 717556 16 -12550999 0 0 28566
8443993 8667318 2576 737686 16 -12550424 0 0 28566
8445232 8666627 2576 757814 16 -12549850 0 0 28561
8447050 8667881 2576 777943 16 -12549274 0 0 28566
8449413 8671078 2576 798072 16 -12548700 0 0 28561
8452524 8676212 2576 818201 16 -12548125 0 0 28561
8454738 8680134 2576 838331 16 -12547550 0 0 28561
8456258 8683584 2576 858459 16 -12546975 0 0 28561
8456709 8685185 2576 878589 16 -12546400 0 0 28561
8456150 8684747 2576 898717 16 -12545825 0 0 28561
8454676 8682721 2576 918846 16 -12545250 0 0 28561
8451931 8677828 2576 938976 16 -12544675 0 0 28561
8448794 8671465 2576 959104 16 -12544100 0 0 28566
8446505 8667109 2576 979233 16 -12543525 0 0 28561
8444789 8663631 2576 999363 16 -12542950 0 0 28566
8443846 8661613 2577 19491 16 -12542375 0 0 28566
8443883 8661849 2577 39620 16 -12541800 0 0 28566
8444836 8663947 2577 59749 16 -12541225 0 0 28566
8446522 8667374 2577 79878 16 -12540650 0 0 28566
8448363 8671364 2577 100008 16 -12540075 0 0 28566
8450770 8676226 2577 120136 16 -12539500 0 0 28566
8453231 8680866 2577 140264 16 -12538925 0 0 28566
8454713 8683843 2577 160395 16 -12538350 0 0 28566
8456158 8686678 2577 180523 16 -12537775 0 0 28566
8456718 8687482 2577 200652 16 -12537200 0 0 28566
8456506 8687205 2577 220780 16 -12536625 0 0 28566
8455072 8684486 2577 240911 16 -12536050 0 0 28565
8453101 8680569 2577 261043 16 -12535475 0 0 28565
8450968 8676522 2577 281171 16 -12534900 0 0 28565
8448349 8671784 2577 301300 16 -12534325 0 0 28565
8446054 8667446 2577 321429 16 -12533750 0 0 28565
8444582 8664789 2577 341558 16 -12533175 0 0 28565
8443785 8663518 2577 361687 16 -12532600 0 0 28565
8443758 8663435 2577 381816 16 -12532025 0 0 28565
8444549 8664501 2577 401943 16 -12531450 0 0 28566
8446025 8666898 2577 422074 16 -12530875 0 0 28565
8447930 8669814 2577 442203 16 -12530300 0 0 28566
8450238 8673167 2577 462330 16 -12529725 0 0 28566
8452183 8676229 2577 482461 16 -12529150 0 0 28566
8454457 8679747 2577 502587 16 -12528575 0 0 28566
8455836 8681632 2577 522717 16 -12528000 0 0 28566
8456769 8683185 2577 542845 16 -12527426 0 0 28561
8456872 8683441 2577 562974 16 -12526850 0 0 28566
8456352 8682902 2577 583104 16 -12526276 0 0 28561
8455133 8681590 2577 603232 16 -12525701 0 0 28561
8453183 8679264 2577 623361 16 -12525126 0 0 28561
8450868 8676242 2577 643489 16 -12524551 0 0 28561
8448346 8673466 2577 663620 16 -12523976 0 0 28561
8446174 8670760 2577 683748 16 -12523401 0 0 28561
8445335 8669671 2577 703876 16 -12522826 0 0 28561
8444375 8668350 2577 724009 16 -12522251 0 0 28561
8443731 8667184 2577 744134 16 -12521676 0 0 28566
8443786 8666891 2577 764265 16 -12521101 0 0 28561
8444541 8667714 2577 784394 16 -12520526 0 0 28566
8445443 8668431 2577 804522 16 -12519951 0 0 28566
8447224 8670143 2577 824650 16 -12519376 0 0 28566
8449062 8672201 2577 844781 16 -12518801 0 0 28565
8451357 8674706 2577 864910 16 -12518226 0 0 28566
8452634 8676174 2577 885037 16 -12517651 0 0 28566
8454500 8678608 2577 905168 16 -12517076 0 0 28565
8455692 8680178 2577 925296 16 -12516501 0 0 28566
8456646 8681967 2577 945424 16 -12515926 0 0 28566
8456915 8682606 2577 965556 16 -12515351 0 0 28566
8456817 8683099 2577 985683 16 -12514776 0 0 28566
8455965 8682953 2578 5812 16 -12514201 0 0 28566
8454554 8681704 2578 25943 16 -12513626 0 0 28565
8452638 8679774 2578 46070 16 -12513051 0 0 28566
8450890 8677559 2578 66201 16 -12512476 0 0 28566
8448841 8674940 2578 86331 16 -12511901 0 0 28565
8447929 8673859 2578 106459 16 -12511326 0 0 28566
8445989 8670600 2578 126588 16 -12510751 0 0 28565
8444391 8667311 2578 146717 16 -12510176 0 0 28565
8443667 8665293 2578 166847 16 -12509601 0 0 28565
8443605 8664195 2578 186975 16 -12509026 0 0 28565
8443819 8663677 2578 207105 16 -12508451 0 0 28565
8444322 8663759 2578 227233 16 -12507876 0 0 28566
8445660 8664435 2578 247362 16 -12507301 0 0 28565
8447459 8666373 2578 267491 16 -12506726 0 0 28566
8449622 8669591 2578 287621 16 -12506151 0 0 28566
8451064 8671750 2578 307747 16 -12505576 0 0 28566
8452725 8674802 2578 327875 16 -12505001 0 0 28566
8453542 8676567 2578 348008 16 -12504427 0 0 28561
8455044 8679853 2578 368134 16 -12503852 0 0 28561
8456325 8683493 2578 388265 16 -12503277 0 0 28561
8456945 8686419 2578 408392 16 -12502702 0 0 28561
8456899 8687513 2578 428520 16 -12502127 0 0 28561
8456522 8687880 2578 448652 16 -12501552 0 0 28561
8456138 8688137 2578 468779 16 -12500977 0 0 28561
8455059 8687100 2578 488907 16 -12500402 0 0 28561
8453438 8684916 2578 509037 16 -12499827 0 0 28561
8451943 8682632 2578 529166 16 -12499252 0 0 28561
8449850 8678518 2578 549294 16 -12498677 0 0 28566
8448319 8675020 2578 569426 16 -12498102 0 0 28566
8447226 8672497 2578 589553 16 -12497527 0 0 28566
8446559 8670882 2578 609681 16 -12496952 0 0 28566
8444635 8665365 2578 629810 16 -12496377 0 0 28566
8443720 8661958 2578 649942 16 -12495802 0 0 28566
8443521 8660355 2578 670068 16 -12495227 0 0 28566
8443857 8660100 2578 690198 16 -12494652 0 0 28566
8444149 8660020 2578 710326 16 -12494077 0 0 28566
8444626 8660482 2578 730455 16 -12493502 0 0 28566
8446071 8662888 2578 750585 16 -12492927 0 0 28566
8447504 8665521 2578 770715 16 -12492352 0 0 28566
8449448 8669448 2578 790844 16 -12491777 0 0 28566
8450999 8672926 2578 810973 16 -12491202 0 0 28566
8452732 8676818 2578 831100 16 -12490627 0 0 28566
