ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8446919 280357 0 0 16 -12602172 0 0 0
8446725 280073 0 0 16 -12601597 0 0 0
8446637 279751 0 0 16 -12601022 0 0 0
8446296 279336 0 0 16 -12600447 0 0 0
8445613 278129 0 0 16 -12599872 0 0 0
8445259 277496 0 0 16 -12599297 0 0 0
8445766 278624 0 0 16 -12598722 0 0 0
8446597 279887 0 0 16 -12598147 0 0 0
8447391 281257 0 0 16 -12597572 0 0 0
8448503 283205 0 0 16 -12596997 0 0 0
8448839 283642 0 0 16 -12596422 0 0 0
8448572 283048 0 0 16 -12595847 0 0 0
8448184 282558 0 0 16 -12595272 0 0 0
8448096 282223 0 0 16 -12594697 0 0 0
8448265 282159 0 0 16 -12594123 0 0 0
8446355 279132 0 0 16 -12593547 0 0 0
8445223 277516 0 0 16 -12592973 0 0 0
8444842 276841 0 0 16 -12592398 0 0 0
8444693 276685 0 0 16 -12591823 0 0 0
8444654 276767 0 0 16 -12591248 0 0 0
8444622 276622 0 0 16 -12590673 0 0 0
8444681 276778 0 0 16 -12590098 0 0 0
8444779 276979 0 0 16 -12589523 0 0 0
8444872 277090 0 0 16 -12588948 0 0 0
8444897 277032 0 0 16 -12588373 0 0 0
8445021 277208 0 0 16 -12587798 0 0 0
8445144 277458 0 0 16 -12587223 0 0 0
8445663 278366 0 0 16 -12586648 0 0 0
8446179 279385 0 0 16 -12586073 0 0 0
8446661 280085 0 0 16 -12585498 0 0 0
8446934 280336 0 0 16 -12584923 0 0 0
8447216 280889 0 0 16 -12584348 0 0 0
8447342 281115 0 0 16 -12583773 0 0 0
8446921 280351 0 0 16 -12583198 0 0 0
8448472 284132 0 0 16 -12582623 0 0 0
8451762 289349 0 0 16 -12582048 0 0 0
8445996 280947 0 0 16 -12581473 0 0 0
8444268 278267 0 0 16 -12580898 0 0 0
8445437 278438 0 0 16 -12580323 0 0 0
8449392 281264 0 0 16 -12579748 0 0 0
