ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8462745 321236 0 0 16 -12602172 0 0 0
8462728 321245 0 0 16 -12601597 0 0 0
8462721 321325 0 0 16 -12601022 0 0 0
8462426 320377 0 0 16 -12600447 0 0 0
8462060 319480 0 0 16 -12599872 0 0 0
8461702 318548 0 0 16 -12599297 0 0 0
8462091 319480 0 0 16 -12598722 0 0 0
8462672 320913 0 0 16 -12598147 0 0 0
8463331 322719 0 0 16 -12597573 0 0 0
8464083 324948 0 0 16 -12596997 0 0 0
8464203 325209 0 0 16 -12596423 0 0 0
8463970 324503 0 0 16 -12595848 0 0 0
8463719 323876 0 0 16 -12595273 0 0 0
8463602 323537 0 0 16 -12594698 0 0 0
8463743 323768 0 0 16 -12594123 0 0 0
8462735 320984 0 0 16 -12593548 0 0 0
8461996 319201 0 0 16 -12592973 0 0 0
8461616 318255 0 0 16 -12592398 0 0 0
8461404 317808 0 0 16 -12591823 0 0 0
8461374 317641 0 0 16 -12591248 0 0 0
8461148 317113 0 0 16 -12590673 0 0 0
8461172 317151 0 0 16 -12590098 0 0 0
8461533 318137 0 0 16 -12589523 0 0 0
8461441 317675 0 0 16 -12588948 0 0 0
8461408 317710 0 0 16 -12588373 0 0 0
8461627 318132 0 0 16 -12587798 0 0 0
8461717 318418 0 0 16 -12587223 0 0 0
8462241 319747 0 0 16 -12586648 0 0 0
8462764 321131 0 0 16 -12586073 0 0 0
8462731 321137 0 0 16 -12585498 0 0 0
8462709 320838 0 0 16 -12584923 0 0 0
8462833 321399 0 0 16 -12584348 0 0 0
8462917 321598 0 0 16 -12583773 0 0 0
8462458 320456 0 0 16 -12583198 0 0 0
8461244 320422 0 0 16 -12582623 0 0 0
8464773 327299 0 0 16 -12582048 0 0 0
8462929 319856 0 0 16 -12581473 0 0 0
8461049 315959 0 0 16 -12580898 0 0 0
8459636 315148 0 0 16 -12580323 0 0 0
8459442 318764 0 0 16 -12579748 0 0 0
8460693 323951 0 0 16 -12579173 0 0 0
8463268 329241 0 0 16 -12578598 0 0 0
8465372 330301 0 0 16 -12578023 0 0 0
8465884 327091 0 0 16 -12577448 0 0 0
8464364 321407 0 0 16 -12576873 0 0 0
8462030 317972 0 0 16 -12576298 0 0 0
8460063 317518 0 0 16 -12575723 0 0 0
8459321 319415 0 0 16 -12575148 0 0 0
8460088 322998 0 0 16 -12574574 0 0 0
8462195 326747 0 0 16 -12573999 0 0 0
8464432 329083 0 0 16 -12573424 0 0 0
8465762 329240 0 0 16 -12572849 0 0 0
8465808 327580 0 0 16 -12572274 0 0 0
8464337 324296 0 0 16 -12571699 0 0 0
8462229 320093 0 0 16 -12571124 0 0 0
8460419 316790 0 0 16 -12570549 0 0 0
8459259 314992 0 0 16 -12569974 0 0 0
8459581 316736 0 0 16 -12569399 0 0 0
8461090 321091 0 0 16 -12568824 0 0 0
8463071 326262 0 0 16 -12568249 0 0 0
8464983 331179 0 0 16 -12567674 0 0 0
8465995 333763 0 0 16 -12567099 0 0 0
8465698 332249 0 0 16 -12566524 0 0 0
8464173 327174 0 0 16 -12565949 0 0 0
8462481 321531 0 0 16 -12565374 0 0 0
8460879 316825 0 0 16 -12564799 0 0 0
8459615 313605 0 0 16 -12564224 0 0 0
8459182 313255 0 0 16 -12563649 0 0 0
8459885 316754 0 0 16 -12563074 0 0 0
8461552 322553 0 0 16 -12562499 0 0 0
8463340 327655 0 0 16 -12561924 0 0 0
8464899 330791 0 0 16 -12561349 0 0 0
8465963 332096 0 0 16 -12560774 0 0 0
8466027 330270 0 0 16 -12560199 0 0 0
8464971 326117 0 0 16 -12559624 0 0 0
8463365 321807 0 0 16 -12559049 0 0 0
8461526 318245 0 0 16 -12558474 0 0 0
8460092 316510 0 0 16 -12557899 0 0 0
8459469 316850 0 0 16 -12557324 0 0 0
8459110 318736 0 0 16 -12556749 0 0 0
8459549 321416 0 0 16 -12556174 0 0 0
8460814 324625 0 0 16 -12555599 0 0 0
8462693 327961 0 0 16 -12555024 0 0 0
8464284 329285 0 0 16 -12554449 0 0 0
8465427 329362 0 0 16 -12553874 0 0 0
8466036 327662 0 0 16 -12553299 0 0 0
8465824 325198 0 0 16 -12552724 0 0 0
8464763 322210 0 0 16 -12552149 0 0 0
8463199 319414 0 0 16 -12551575 0 0 0
8462028 317649 0 0 16 -12551000 0 0 0
8460637 316817 0 0 16 -12550425 0 0 0
8459489 316775 0 0 16 -12549850 0 0 0
8459137 317608 0 0 16 -12549275 0 0 0
8459391 319218 0 0 16 -12548700 0 0 0
8460547 322503 0 0 16 -12548125 0 0 0
8461769 325209 0 0 16 -12547550 0 0 0
8463335 328248 0 0 16 -12546975 0 0 0
8464466 330189 0 0 16 -12546400 0 0 0
8465630 331866 0 0 16 -12545825 0 0 0
