ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8466813 8404874 155 957091 8 29952 0 0 41611457
8466692 8404799 155 977221 0 -12606198 0 0 -21161271
8465712 8404481 155 997348 0 -12606171 0 0 -21161137
8463518 8404118 156 17478 0 -12606095 0 0 -21160759
8461164 8404184 156 37608 0 -12605973 0 0 -21160153
8462220 8404863 156 57736 0 -12605803 0 0 -21159308
8465721 8405206 156 77866 0 -12605586 0 0 -21158230
8466453 8404953 156 97995 0 -12605322 0 0 -21156919
8464075 8404400 156 118122 0 -12605011 0 0 -21155374
8461558 8404391 156 138254 0 -12604652 0 0 -21153590
8464569 8405106 156 158384 0 -12604247 0 0 -62763035
8465547 8405217 156 178511 0 -12603794 0 0 11943
8466037 8405271 156 198642 0 -12603294 0 0 14293
8466277 8405291 156 218772 0 -12602747 0 0 16632
8466628 8405305 156 238900 16 -12602172 0 0 18883
8466607 8405278 156 259030 16 -12601597 0 0 20895
8466553 8405294 156 279157 16 -12601022 0 0 22674
8466485 8405325 156 299286 16 -12600447 0 0 24219
8466196 8405305 156 319415 16 -12599872 0 0 25530
8466224 8405299 156 339544 16 -12599297 0 0 26603
8466556 8405322 156 359673 16 -12598722 0 0 27448
8466699 8405313 156 379800 16 -12598147 0 0 28054
8466594 8405323 156 399929 16 -12597572 0 0 28427
8466258 8405320 156 420057 16 -12596998 0 0 28561
8465833 8405263 156 440186 16 -12596423 0 0 28561
8465671 8405261 156 460316 16 -12595848 0 0 28561
8465599 8405278 156 480445 16 -12595273 0 0 28561
8465610 8405243 156 500574 16 -12594698 0 0 28561
8465281 8405196 156 520703 16 -12594123 0 0 28561
8465323 8405221 156 540831 16 -12593548 0 0 28561
8465884 8405277 156 560960 16 -12592973 0 0 28561
8466493 8405305 156 581089 16 -12592398 0 0 28561
8466842 8405267 156 601218 16 -12591823 0 0 28561
8466815 8405224 156 621347 16 -12591248 0 0 28566
