ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8453460 8403524 3479 915938 0 -12606198 0 0 -62778965
8450493 8403625 3479 936066 0 -12606170 0 0 -62778826
8445823 8403548 3479 956193 0 -12606095 0 0 -62778453
8445875 8403020 3479 976322 0 -12605972 0 0 -62777842
8451562 8402501 3479 996452 0 -12605803 0 0 -62777002
8456509 8402518 3480 16581 0 -12605586 0 0 -62775924
8457099 8402817 3480 36710 0 -12605321 0 0 -62774608
8452433 8403382 3480 56839 0 -12605010 0 0 -62773063
8445985 8403527 3480 76968 0 -12604652 0 0 -62771284
8448660 8402911 3480 97097 0 -12604246 0 0 -62769267
8454290 8402537 3480 117226 0 -12603793 0 0 11948
8457151 8402498 3480 137355 0 -12603293 0 0 14293
8457623 8402541 3480 157486 0 -12602746 0 0 16638
8457661 8402583 3480 177615 16 -12602171 0 0 18883
8457518 8402619 3480 197744 16 -12601596 0 0 20900
8457267 8402674 3480 217871 16 -12601021 0 0 22679
8456567 8402834 3480 238002 16 -12600446 0 0 24219
8455378 8402938 3480 258129 16 -12599871 0 0 25530
8454454 8403042 3480 278258 16 -12599296 0 0 26608
8454737 8403005 3480 298386 16 -12598721 0 0 27448
8455385 8402954 3480 318518 16 -12598146 0 0 28054
8455820 8402886 3480 338645 16 -12597571 0 0 28427
8456393 8402822 3480 358773 16 -12596996 0 0 28566
8456358 8402834 3480 378905 16 -12596421 0 0 28566
8455839 8402911 3480 399034 16 -12595846 0 0 28566
8455187 8402982 3480 419160 16 -12595271 0 0 28566
8454324 8403057 3480 439292 16 -12594696 0 0 28566
8452484 8403224 3480 459419 16 -12594122 0 0 28561
8451356 8403304 3480 479547 16 -12593547 0 0 28561
8451363 8403347 3480 499680 16 -12592972 0 0 28560
8451060 8403355 3480 519808 16 -12592397 0 0 28561
8450695 8403356 3480 539937 16 -12591822 0 0 28560
8450559 8403363 3480 560067 16 -12591247 0 0 28560
8450647 8403370 3480 580195 16 -12590672 0 0 28561
8450541 8403377 3480 600324 16 -12590097 0 0 28561
8450924 8403363 3480 620452 16 -12589522 0 0 28560
8451052 8403326 3480 640583 16 -12588947 0 0 28560
8450936 8403364 3480 660709 16 -12588372 0 0 28566
8451098 8403353 3480 680840 16 -12587797 0 0 28565
8451128 8403346 3480 700969 16 -12587222 0 0 28566
8451142 8403323 3480 721096 16 -12586647 0 0 28566
8452259 8403243 3480 741225 16 -12586072 0 0 28566
8452851 8403209 3480 761353 16 -12585497 0 0 28566
8453115 8403196 3480 781484 16 -12584922 0 0 28566
8453348 8403163 3480 801613 16 -12584347 0 0 28566
8453221 8403167 3480 821741 16 -12583772 0 0 28566
8451345 8403295 3480 841870 16 -12583197 0 0 28566
8449764 8403121 3480 861998 16 -12582622 0 0 28566
8456297 8402603 3480 882129 16 -12582047 0 0 28566
8454251 8402860 3480 902257 16 -12581472 0 0 28566
8450030 8403235 3480 922385 16 -12580897 0 0 28566
8446069 8403557 3480 942516 16 -12580322 0 0 28566
8444675 8403635 3480 962645 16 -12579747 0 0 28566
8446675 8403439 3480 982774 16 -12579172 0 0 28566
8450988 8403095 3481 2901 16 -12578597 0 0 28566
8455539 8402696 3481 23033 16 -12578022 0 0 28565
8457416 8402516 3481 43159 16 -12577447 0 0 28566
8455681 8402589 3481 63290 16 -12576872 0 0 28566
8451586 8402888 3481 83419 16 -12576297 0 0 28566
8447053 8403319 3481 103546 16 -12575722 0 0 28566
8444747 8403574 3481 123677 16 -12575147 0 0 28565
8445170 8403657 3481 143806 16 -12574572 0 0 28566
8448420 8403483 3481 163935 16 -12573997 0 0 28566
8453241 8403130 3481 184062 16 -12573422 0 0 28566
8456663 8402735 3481 204193 16 -12572847 0 0 28565
8457664 8402553 3481 224322 16 -12572273 0 0 28561
8455771 8402511 3481 244449 16 -12571698 0 0 28561
8452056 8402678 3481 264580 16 -12571123 0 0 28561
