ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8457661 14231 0 0 16 -12602171 0 0 0
8457518 14267 0 0 16 -12601596 0 0 0
8457267 14322 0 0 16 -12601021 0 0 0
8456567 14482 0 0 16 -12600446 0 0 0
8455378 14586 0 0 16 -12599871 0 0 0
8454454 14690 0 0 16 -12599296 0 0 0
8454737 14653 0 0 16 -12598721 0 0 0
8455385 14602 0 0 16 -12598146 0 0 0
8455820 14534 0 0 16 -12597571 0 0 0
8456393 14470 0 0 16 -12596996 0 0 0
8456358 14482 0 0 16 -12596421 0 0 0
8455839 14559 0 0 16 -12595846 0 0 0
8455187 14630 0 0 16 -12595271 0 0 0
8454324 14705 0 0 16 -12594696 0 0 0
8452484 14872 0 0 16 -12594122 0 0 0
8451356 14952 0 0 16 -12593547 0 0 0
8451363 14995 0 0 16 -12592972 0 0 0
8451060 15003 0 0 16 -12592397 0 0 0
8450695 15004 0 0 16 -12591822 0 0 0
8450559 15011 0 0 16 -12591247 0 0 0
8450647 15018 0 0 16 -12590672 0 0 0
8450541 15025 0 0 16 -12590097 0 0 0
8450924 15011 0 0 16 -12589522 0 0 0
8451052 14974 0 0 16 -12588947 0 0 0
8450936 15012 0 0 16 -12588372 0 0 0
8451098 15001 0 0 16 -12587797 0 0 0
8451128 14994 0 0 16 -12587222 0 0 0
8451142 14971 0 0 16 -12586647 0 0 0
8452259 14891 0 0 16 -12586072 0 0 0
8452851 14857 0 0 16 -12585497 0 0 0
8453115 14844 0 0 16 -12584922 0 0 0
8453348 14811 0 0 16 -12584347 0 0 0
8453221 14815 0 0 16 -12583772 0 0 0
8451345 14943 0 0 16 -12583197 0 0 0
8449764 14769 0 0 16 -12582622 0 0 0
8456297 14251 0 0 16 -12582047 0 0 0
8454251 14508 0 0 16 -12581472 0 0 0
8450030 14883 0 0 16 -12580897 0 0 0
8446069 15205 0 0 16 -12580322 0 0 0
8444675 15283 0 0 16 -12579747 0 0 0
8446675 15087 0 0 16 -12579172 0 0 0
8450988 14743 0 0 16 -12578597 0 0 0
8455539 14344 0 0 16 -12578022 0 0 0
8457416 14164 0 0 16 -12577447 0 0 0
8455681 14237 0 0 16 -12576872 0 0 0
8451586 14536 0 0 16 -12576297 0 0 0
8447053 14967 0 0 16 -12575722 0 0 0
8444747 15222 0 0 16 -12575147 0 0 0
8445170 15305 0 0 16 -12574572 0 0 0
8448420 15131 0 0 16 -12573997 0 0 0
8453241 14778 0 0 16 -12573422 0 0 0
8456663 14383 0 0 16 -12572847 0 0 0
8457664 14201 0 0 16 -12572273 0 0 0
8455771 14159 0 0 16 -12571698 0 0 0
8452056 14326 0 0 16 -12571123 0 0 0
8448263 14619 0 0 16 -12570548 0 0 0
8445127 14969 0 0 16 -12569973 0 0 0
8444608 15225 0 0 16 -12569398 0 0 0
8446735 15282 0 0 16 -12568823 0 0 0
8450340 15164 0 0 16 -12568248 0 0 0
8453998 14879 0 0 16 -12567673 0 0 0
8456839 14584 0 0 16 -12567098 0 0 0
8457651 14298 0 0 16 -12566523 0 0 0
8456239 14174 0 0 16 -12565948 0 0 0
8453077 14186 0 0 16 -12565373 0 0 0
8449451 14345 0 0 16 -12564798 0 0 0
8446330 14615 0 0 16 -12564223 0 0 0
8444560 14893 0 0 16 -12563648 0 0 0
8444833 15174 0 0 16 -12563073 0 0 0
8447062 15260 0 0 16 -12562498 0 0 0
8450656 15207 0 0 16 -12561923 0 0 0
8454171 15063 0 0 16 -12561348 0 0 0
8456673 14799 0 0 16 -12560773 0 0 0
8457790 14542 0 0 16 -12560198 0 0 0
8456884 14270 0 0 16 -12559623 0 0 0
8454352 14152 0 0 16 -12559048 0 0 0
8450459 14175 0 0 16 -12558473 0 0 0
8447769 14292 0 0 16 -12557898 0 0 0
8445632 14464 0 0 16 -12557323 0 0 0
8444263 14762 0 0 16 -12556748 0 0 0
8444498 14970 0 0 16 -12556173 0 0 0
8446389 15186 0 0 16 -12555598 0 0 0
8450077 15281 0 0 16 -12555023 0 0 0
8452781 15234 0 0 16 -12554448 0 0 0
8455395 15110 0 0 16 -12553873 0 0 0
8457155 14928 0 0 16 -12553298 0 0 0
8457747 14626 0 0 16 -12552724 0 0 0
8456518 14386 0 0 16 -12552148 0 0 0
8453911 14223 0 0 16 -12551573 0 0 0
8451695 14154 0 0 16 -12550998 0 0 0
8448579 14164 0 0 16 -12550423 0 0 0
8445487 14313 0 0 16 -12549849 0 0 0
8444279 14504 0 0 16 -12549274 0 0 0
8444234 14691 0 0 16 -12548699 0 0 0
8445667 14949 0 0 16 -12548124 0 0 0
8447836 15112 0 0 16 -12547549 0 0 0
8450818 15265 0 0 16 -12546974 0 0 0
8453056 15249 0 0 16 -12546399 0 0 0
8455727 15218 0 0 16 -12545824 0 0 0
8457131 15080 0 0 16 -12545249 0 0 0
8457779 14836 0 0 16 -12544674 0 0 0
8456835 14608 0 0 16 -12544099 0 0 0
8455134 14411 0 0 16 -12543524 0 0 0
8452632 14280 0 0 16 -12542949 0 0 0
8450187 14169 0 0 16 -12542374 0 0 0
8448033 14149 0 0 16 -12541799 0 0 0
8445664 14213 0 0 16 -12541224 0 0 0
8444324 14339 0 0 16 -12540649 0 0 0
8444104 14463 0 0 16 -12540074 0 0 0
8444798 14644 0 0 16 -12539499 0 0 0
8446468 14884 0 0 16 -12538924 0 0 0
8447921 14993 0 0 16 -12538349 0 0 0
8450560 15145 0 0 16 -12537774 0 0 0
8453558 15256 0 0 16 -12537199 0 0 0
8455613 15254 0 0 16 -12536624 0 0 0
8457403 15191 0 0 16 -12536049 0 0 0
8457991 15078 0 0 16 -12535474 0 0 0
8457625 14944 0 0 16 -12534899 0 0 0
8455798 14686 0 0 16 -12534324 0 0 0
8453905 14507 0 0 16 -12533749 0 0 0
8451836 14348 0 0 16 -12533174 0 0 0
8449074 14218 0 0 16 -12532599 0 0 0
8446727 14120 0 0 16 -12532024 0 0 0
8444999 14136 0 0 16 -12531449 0 0 0
8444200 14191 0 0 16 -12530874 0 0 0
8443993 14298 0 0 16 -12530299 0 0 0
8444808 14466 0 0 16 -12529725 0 0 0
8446211 14653 0 0 16 -12529150 0 0 0
8448482 14830 0 0 16 -12528574 0 0 0
8450793 15007 0 0 16 -12527999 0 0 0
8453310 15147 0 0 16 -12527424 0 0 0
8455088 15211 0 0 16 -12526850 0 0 0
8456931 15254 0 0 16 -12526275 0 0 0
8457850 15225 0 0 16 -12525700 0 0 0
8457968 15161 0 0 16 -12525125 0 0 0
