ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8466628 16953 0 0 16 -12602172 0 0 0
8466607 16926 0 0 16 -12601597 0 0 0
8466553 16942 0 0 16 -12601022 0 0 0
8466485 16973 0 0 16 -12600447 0 0 0
8466196 16953 0 0 16 -12599872 0 0 0
8466224 16947 0 0 16 -12599297 0 0 0
8466556 16970 0 0 16 -12598722 0 0 0
8466699 16961 0 0 16 -12598147 0 0 0
8466594 16971 0 0 16 -12597572 0 0 0
8466258 16968 0 0 16 -12596998 0 0 0
8465833 16911 0 0 16 -12596423 0 0 0
8465671 16909 0 0 16 -12595848 0 0 0
8465599 16926 0 0 16 -12595273 0 0 0
8465610 16891 0 0 16 -12594698 0 0 0
8465281 16844 0 0 16 -12594123 0 0 0
8465323 16869 0 0 16 -12593548 0 0 0
8465884 16925 0 0 16 -12592973 0 0 0
8466493 16953 0 0 16 -12592398 0 0 0
8466842 16915 0 0 16 -12591823 0 0 0
8466815 16872 0 0 16 -12591248 0 0 0
8466775 16858 0 0 16 -12590673 0 0 0
8466680 16797 0 0 16 -12590098 0 0 0
8466712 16798 0 0 16 -12589523 0 0 0
8466728 16815 0 0 16 -12588948 0 0 0
8466699 16806 0 0 16 -12588373 0 0 0
8466735 16819 0 0 16 -12587798 0 0 0
8466769 16837 0 0 16 -12587223 0 0 0
8466810 16870 0 0 16 -12586648 0 0 0
8466894 16952 0 0 16 -12586073 0 0 0
8466795 16962 0 0 16 -12585498 0 0 0
8466763 16985 0 0 16 -12584923 0 0 0
8466680 16974 0 0 16 -12584348 0 0 0
8466755 16989 0 0 16 -12583773 0 0 0
8465813 16683 0 0 16 -12583198 0 0 0
8462532 16124 0 0 16 -12582623 0 0 0
8465798 16785 0 0 16 -12582048 0 0 0
8466745 16946 0 0 16 -12581473 0 0 0
8466126 16803 0 0 16 -12580898 0 0 0
8464462 16491 0 0 16 -12580323 0 0 0
8462017 16039 0 0 16 -12579748 0 0 0
8460666 15766 0 0 16 -12579173 0 0 0
8460934 15778 0 0 16 -12578598 0 0 0
8462559 16005 0 0 16 -12578023 0 0 0
8464889 16432 0 0 16 -12577448 0 0 0
8466583 16828 0 0 16 -12576873 0 0 0
8466477 16928 0 0 16 -12576298 0 0 0
8465041 16770 0 0 16 -12575724 0 0 0
8463283 16502 0 0 16 -12575148 0 0 0
8461262 16081 0 0 16 -12574574 0 0 0
8460507 15803 0 0 16 -12573999 0 0 0
8461049 15729 0 0 16 -12573424 0 0 0
8462838 15897 0 0 16 -12572849 0 0 0
8464717 16193 0 0 16 -12572274 0 0 0
8466163 16507 0 0 16 -12571699 0 0 0
8466693 16803 0 0 16 -12571124 0 0 0
8465985 16910 0 0 16 -12570549 0 0 0
8463996 16760 0 0 16 -12569974 0 0 0
8462226 16491 0 0 16 -12569399 0 0 0
8460867 16168 0 0 16 -12568824 0 0 0
8460400 15893 0 0 16 -12568249 0 0 0
8460932 15754 0 0 16 -12567674 0 0 0
8462528 15766 0 0 16 -12567099 0 0 0
