ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8388754 8388375 31 766950 16 35583541 0 0 13503
8388789 8388358 31 804966 0 95488 0 0 -93352763
8388754 8388358 31 825094 0 35584344 0 0 82954336
8388768 8388370 31 845222 0 35584558 0 0 82955399
8388769 8388351 31 865354 0 35584724 0 0 82956224
8388774 8388359 31 885481 0 35584824 0 0 82956720
8388760 8388370 31 905609 0 35584858 0 0 82956889
8388755 8388341 31 925740 0 35584835 0 0 82956775
8388756 8388344 31 945868 0 35584765 0 0 82956427
8388746 8388347 31 965996 0 35584648 0 0 82955846
8388759 8388357 31 986126 0 35584483 0 0 82955026
8388749 8388343 32 6256 0 35584272 0 0 176306742
8388752 8388343 32 26385 0 35584013 0 0 -1644
8388778 8388352 32 46514 0 35583707 0 0 -4228
8388781 8388341 32 66642 0 35583354 0 0 -6806
8388766 8388339 32 86770 0 35582954 0 0 -9290
8388772 8388344 32 106901 0 35582507 0 0 -11680
8388754 8388329 32 127031 0 35582012 0 0 -14024
8388760 8388349 32 147159 0 35581470 0 0 -16369
8389051 8388554 32 167287 0 35580881 0 0 -18714
8388897 8388437 32 187416 0 35580245 0 0 -21054
8388776 8388352 32 207544 4 35579562 0 0 -23399
8388775 8388355 32 227677 4 35578832 0 0 -25739
8388769 8388369 32 247805 0 35578054 0 0 -28084
8388774 8388350 32 267935 4 35577229 0 0 -30428
8388772 8388345 32 288064 4 35576358 0 0 -32768
8388759 8388354 32 308192 0 35575438 0 0 -35118
8388772 8388368 32 328320 0 35574479 0 0 -37424
8388762 8388349 32 348452 0 35573506 0 0 -39564
8388776 8388348 32 368580 0 35572521 0 0 -41532
8388764 8388344 32 388708 0 35571524 0 0 -43325
8388768 8388349 32 408839 0 35570516 0 0 -44939
8388760 8388353 32 428965 0 35569495 0 0 -46386
8388744 8388342 32 449095 0 35568463 0 0 -47648
8388772 8388351 32 469223 0 35567419 0 0 -48736
8388758 8388352 32 489351 0 35566364 0 0 -49651
8388773 8388360 32 509479 0 35565296 0 0 -50386
8388761 8388354 32 529610 0 35564217 0 0 -50981
8388757 8388351 32 549738 0 35563126 0 0 -51568
8388768 8388351 32 569867 0 35562023 0 0 -52154
8388757 8388367 32 589998 0 35560908 0 0 -52740
8388757 8388338 32 610126 0 35559781 0 0 -53332
8388770 8388374 32 630254 0 35558643 0 0 -53913
8388773 8388346 32 650385 0 35557493 0 0 -54499
8388752 8388330 32 670512 0 35556331 0 0 -55085
8388765 8388350 32 690640 0 35555157 0 0 -55676
8388752 8388351 32 710771 0 35553972 0 0 -56257
8388772 8388353 32 730899 0 35552775 0 0 -56844
8388769 8388363 32 751030 0 35551565 0 0 -57434
8388764 8388361 32 771157 0 35550345 0 0 -58016
8388777 8388354 32 791285 0 35549112 0 0 -58603
8388775 8388341 32 811416 0 35547868 0 0 -59183
8388754 8388343 32 831544 0 35546612 0 0 -59769
8388775 8388348 32 851672 0 35545343 0 0 -60361
8388765 8388358 32 871803 0 35544064 0 0 -60942
8388750 8388354 32 891931 0 35542772 0 0 -61528
8388744 8388361 32 912061 0 35541468 0 0 -62119
8388768 8388349 32 932189 0 35540153 0 0 -62706
8388762 8388366 32 952317 0 35538826 0 0 -63287
8388763 8388378 32 972448 0 35537487 0 0 -63878
8388794 8388369 32 992576 0 35536137 0 0 -64459
8388796 8388355 33 12706 0 35534774 0 0 -65050
8388764 8388361 33 32838 0 35533400 0 0 -65635
8388767 8388343 33 52966 0 35532014 0 0 -66217
8388751 8388358 33 73095 0 35530617 0 0 -66803
8388753 8388359 33 93223 0 35529207 0 0 -67390
8388756 8388365 33 113351 0 35527786 0 0 -67972
8388748 8388354 33 133482 0 35526353 0 0 -68557
8388750 8388363 33 153610 0 35524908 0 0 -69143
8388760 8388348 33 173740 0 35523451 0 0 -69730
8388750 8388348 33 193869 0 35521983 0 0 -70315
8388749 8388344 33 213996 0 35520502 0 0 -70903
8388754 8388357 33 234125 0 35519010 0 0 -71490
8388772 8388347 33 254256 0 35517506 0 0 -72075
8388761 8388357 33 274383 0 35515991 0 0 -72662
8388752 8388340 33 294510 0 35514463 0 0 -73249
8388774 8388363 33 314641 0 35512924 0 0 -73834
8388758 8388360 33 334769 0 35511373 0 0 -74421
8388780 8388358 33 354897 0 35509810 0 0 -75007
8388755 8388352 33 375029 0 35508236 0 0 -75588
8388778 8388360 33 395157 0 35506649 0 0 -76179
8388784 8388362 33 415286 0 35505051 0 0 -76760
8388767 8388369 33 435414 0 35503441 0 0 -77347
8388792 8388374 33 455542 0 35501819 0 0 -77934
8388781 8388362 33 475673 0 35500186 0 0 -78518
8388795 8388361 33 495801 0 35498540 0 0 -79104
8388794 8388366 33 515931 0 35496883 0 0 -79691
8388795 8388364 33 536060 0 35495214 0 0 -80277
8388775 8388375 33 556188 0 35493533 0 0 -80863
8388778 8388357 33 576318 0 35491841 0 0 -81450
8388781 8388374 33 596447 0 35490136 0 0 -82036
8388775 8388375 33 616576 0 35488420 0 0 -82622
8388778 8388359 33 636704 0 35486692 0 0 -83209
8388786 8388340 33 656835 0 35484953 0 0 -83789
8388774 8388350 33 676963 0 35483201 0 0 -84381
8388772 8388363 33 697092 0 35481438 0 0 -84962
8388782 8388349 33 717220 0 35479662 0 0 -85553
8388767 8388348 33 737349 0 35477876 0 0 -86135
