ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
8388754 8388375 0 0 16 35583541 0 0 0
8388769 8388340 0 0 16 35470612 0 0 0
8388770 8388366 0 0 16 35468779 0 0 0
8388761 8388361 0 0 16 35466946 0 0 0
8388776 8388367 0 0 16 35465113 0 0 0
8388794 8388357 0 0 16 35463280 0 0 0
8388797 8388371 0 0 16 35461447 0 0 0
8388786 8388370 0 0 16 35459614 0 0 0
8388769 8388372 0 0 16 35457781 0 0 0
8388767 8388358 0 0 16 35455948 0 0 0
8388756 8388383 0 0 16 35454115 0 0 0
8388752 8388374 0 0 16 35452282 0 0 0
8388742 8388350 0 0 16 35450449 0 0 0
8388759 8388350 0 0 16 35448616 0 0 0
8388753 8388362 0 0 16 35446783 0 0 0
8388749 8388351 0 0 16 35444950 0 0 0
8388766 8388359 0 0 16 35443117 0 0 0
8388759 8388350 0 0 16 35441284 0 0 0
8388773 8388345 0 0 16 35439451 0 0 0
8388783 8388344 0 0 16 35437618 0 0 0
8388759 8388350 0 0 16 35435785 0 0 0
8388756 8388351 0 0 16 35433952 0 0 0
8388757 8388349 0 0 16 35432119 0 0 0
8388762 8388352 0 0 16 35430286 0 0 0
8388776 8388364 0 0 16 35428453 0 0 0
8388781 8388364 0 0 16 35426620 0 0 0
8388760 8388351 0 0 16 35424786 0 0 0
8388761 8388351 0 0 16 35422953 0 0 0
8388742 8388347 0 0 16 35421120 0 0 0
8388777 8388358 0 0 16 35419288 0 0 0
8388762 8388367 0 0 16 35417454 0 0 0
8388774 8388339 0 0 16 35415621 0 0 0
8388758 8388346 0 0 16 35413788 0 0 0
8388779 8388346 0 0 16 35411955 0 0 0
8388783 8388350 0 0 16 35410122 0 0 0
8388754 8388366 0 0 16 35408289 0 0 0
8388759 8388356 0 0 16 35406456 0 0 0
8388745 8388358 0 0 16 35404623 0 0 0
8388750 8388364 0 0 16 35402790 0 0 0
8388769 8388349 0 0 16 35400957 0 0 0
8388746 8388355 0 0 16 35399124 0 0 0
8388753 8388349 0 0 16 35397291 0 0 0
8388759 8388335 0 0 16 35395458 0 0 0
8388745 8388359 0 0 16 35393625 0 0 0
8388742 8388358 0 0 16 35391792 0 0 0
8388762 8388355 0 0 16 35389959 0 0 0
8388746 8388331 0 0 16 35388126 0 0 0
8388761 8388353 0 0 16 35386293 0 0 0
8388758 8388357 0 0 16 35384459 0 0 0
8388761 8388329 0 0 16 35382626 0 0 0
8388766 8388344 0 0 16 35380793 0 0 0
8388753 8388348 0 0 16 35378961 0 0 0
8388753 8388350 0 0 16 35377127 0 0 0
8388752 8388349 0 0 16 35375295 0 0 0
8388756 8388349 0 0 16 35373461 0 0 0
8388745 8388370 0 0 16 35371628 0 0 0
8388752 8388347 0 0 16 35369795 0 0 0
8388762 8388358 0 0 16 35367962 0 0 0
8388755 8388352 0 0 16 35366129 0 0 0
8388758 8388361 0 0 16 35364296 0 0 0
8388782 8388357 0 0 16 35362463 0 0 0
8388760 8388341 0 0 16 35360630 0 0 0
8388756 8388350 0 0 16 35358797 0 0 0
8388772 8388354 0 0 16 35356964 0 0 0
8388770 8388359 0 0 16 35355131 0 0 0
8388751 8388346 0 0 16 35353298 0 0 0
8388756 8388352 0 0 16 35351465 0 0 0
8388761 8388349 0 0 16 35349632 0 0 0
8388774 8388349 0 0 16 35347799 0 0 0
8388769 8388351 0 0 16 35345966 0 0 0
8388753 8388347 0 0 16 35344133 0 0 0
8388768 8388351 0 0 16 35342300 0 0 0
8388780 8388356 0 0 16 35340467 0 0 0
8388764 8388353 0 0 16 35338634 0 0 0
8388747 8388339 0 0 16 35336801 0 0 0
8388775 8388337 0 0 16 35334968 0 0 0
8388755 8388336 0 0 16 35333134 0 0 0
8388773 8388365 0 0 16 35331301 0 0 0
8388769 8388354 0 0 16 35329468 0 0 0
8388754 8388353 0 0 16 35327635 0 0 0
8388754 8388350 0 0 16 35325802 0 0 0
8388776 8388354 0 0 16 35323969 0 0 0
8388763 8388348 0 0 16 35322136 0 0 0
8388765 8388349 0 0 16 35320303 0 0 0
8388758 8388340 0 0 16 35318470 0 0 0
8388765 8388359 0 0 16 35316637 0 0 0
8388758 8388348 0 0 16 35314804 0 0 0
8388758 8388365 0 0 16 35312971 0 0 0
8388761 8388345 0 0 16 35311138 0 0 0
8388757 8388359 0 0 16 35309305 0 0 0
8388753 8388339 0 0 16 35307472 0 0 0
8388753 8388352 0 0 16 35305639 0 0 0
8388766 8388343 0 0 16 35303806 0 0 0
8388778 8388337 0 0 16 35301973 0 0 0
8388757 8388339 0 0 16 35300140 0 0 0
8388775 8388354 0 0 16 35298307 0 0 0
8388774 8388351 0 0 16 35296474 0 0 0
8388772 8388351 0 0 16 35294641 0 0 0
8388737 8388357 0 0 16 35292808 0 0 0
8388763 8388344 0 0 16 35290975 0 0 0
8388774 8388355 0 0 16 35289142 0 0 0
8388762 8388344 0 0 16 35287309 0 0 0
8388769 8388345 0 0 16 35285476 0 0 0
8388780 8388348 0 0 16 35283643 0 0 0
8388770 8388354 0 0 16 35281810 0 0 0
8388761 8388365 0 0 16 35279977 0 0 0
8388771 8388352 0 0 16 35278144 0 0 0
8388744 8388355 0 0 16 35276311 0 0 0
8388772 8388339 0 0 16 35274478 0 0 0
8388769 8388354 0 0 16 35272645 0 0 0
8388772 8388360 0 0 16 35270811 0 0 0
8388790 8388355 0 0 16 35268978 0 0 0
8388779 8388351 0 0 16 35267145 0 0 0
8388772 8388364 0 0 16 35265312 0 0 0
8388766 8388337 0 0 16 35263479 0 0 0
8388770 8388334 0 0 16 35261647 0 0 0
8388772 8388352 0 0 16 35259813 0 0 0
8388765 8388356 0 0 16 35257980 0 0 0
8388762 8388359 0 0 16 35256147 0 0 0
8388755 8388354 0 0 16 35254314 0 0 0
8388757 8388338 0 0 16 35252481 0 0 0
8388783 8388342 0 0 16 35250648 0 0 0
8388773 8388369 0 0 16 35248815 0 0 0
8388786 8388363 0 0 16 35246982 0 0 0
8388751 8388349 0 0 16 35245149 0 0 0
8388759 8388362 0 0 16 35243316 0 0 0
8388754 8388355 0 0 16 35241483 0 0 0
8388783 8388353 0 0 16 35239650 0 0 0
8388773 8388352 0 0 16 35237817 0 0 0
8388788 8388358 0 0 16 35235984 0 0 0
