ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8388374 3158 708133 8 327680 0 0 -312511
0 8388362 3158 728261 0 -7282985 0 0 -37811332
0 8388368 3158 748391 0 -7283013 0 0 -37811472
0 8388380 3158 768520 0 -7283089 0 0 -37811849
0 8388386 3158 788649 0 -7283212 0 0 -37812460
0 8388396 3158 808778 0 -7283382 0 0 -37813305
0 8388372 3158 828907 0 -7283599 0 0 -37814383
0 8388384 3158 849036 0 -7283863 0 0 -37815694
0 8388389 3158 869165 0 -7284175 0 0 -37817244
0 8388372 3158 889294 0 -7284534 0 0 -37819028
0 8388394 3158 909423 0 -7284940 0 0 -37821045
0 8388367 3158 929552 0 -7285393 0 0 -11963
0 8388389 3158 949681 0 -7285893 0 0 -14308
0 8388385 3158 969810 0 -7286441 0 0 -16653
0 8388713 3158 989939 0 -7287036 0 0 -18998
0 8388477 3159 10068 0 -7287677 0 0 -21337
0 8388406 3159 30197 4 -7288366 0 0 -23682
0 8388387 3159 50326 4 -7289102 0 0 -26027
0 8388396 3159 70455 0 -7289886 0 0 -28372
0 8388379 3159 90584 4 -7290716 0 0 -30712
0 8388374 3159 110714 4 -7291594 0 0 -33056
0 8388396 3159 130842 0 -7292519 0 0 -35402
0 8388382 3159 150971 0 -7293481 0 0 -37697
0 8388389 3159 171101 4 -7294455 0 0 -39813
0 8388371 3159 191229 4 -7295442 0 0 -41761
0 8388360 3159 211358 4 -7296440 0 0 -43534
0 8388371 3159 231491 4 -7297450 0 0 -45128
0 8388370 3159 251620 4 -7298472 0 0 -46549
0 8388363 3159 271746 4 -7299506 0 0 -47792
0 8388362 3159 291876 0 -7300551 0 0 -48859
0 8388369 3159 312005 0 -7301608 0 0 -49749
0 8388374 3159 332132 4 -7302677 0 0 -50465
0 8388375 3159 352262 0 -7303758 0 0 -51055
0 8388387 3159 372391 0 -7304850 0 0 -51642
0 8388383 3159 392519 0 -7305955 0 0 -52228
0 8388393 3159 412650 0 -7307071 0 0 -52814
0 8388397 3159 432777 0 -7308199 0 0 -53401
0 8388377 3159 452907 0 -7309339 0 0 -53987
0 8388382 3159 473034 0 -7310490 0 0 -54569
0 8388365 3159 493164 0 -7311653 0 0 -55155
0 8388378 3159 513293 0 -7312829 0 0 -55746
0 8388400 3159 533423 0 -7314015 0 0 -56326
0 8388392 3159 553550 0 -7315214 0 0 -56913
0 8388390 3159 573679 0 -7316425 0 0 -57505
0 8388373 3159 593808 0 -7317647 0 0 -58086
0 8388370 3159 613938 0 -7318881 0 0 -58672
0 8388390 3159 634067 0 -7320127 0 0 -59258
0 8388385 3159 654196 0 -7321385 0 0 -59844
0 8388371 3159 674324 0 -7322654 0 0 -60430
0 8388350 3159 694453 0 -7323935 0 0 -61017
0 8388395 3159 714583 0 -7325228 0 0 -61598
0 8388385 3159 734715 0 -7326533 0 0 -62189
0 8388377 3159 754841 0 -7327850 0 0 -62775
0 8388360 3159 774969 0 -7329178 0 0 -63356
0 8388371 3159 795098 0 -7330519 0 0 -63948
0 8388368 3159 815227 0 -7331870 0 0 -64529
0 8388376 3159 835357 0 -7333234 0 0 -65115
0 8388393 3159 855486 0 -7334610 0 0 -65701
0 8388379 3159 875616 0 -7335998 0 0 -66292
0 8388388 3159 895743 0 -7337397 0 0 -66879
0 8388395 3159 915872 0 -7338808 0 0 -67465
0 8388381 3159 936001 0 -7340230 0 0 -68047
0 8388376 3159 956131 0 -7341665 0 0 -68632
0 8388373 3159 976259 0 -7343111 0 0 -69219
0 8388374 3159 996388 0 -7344569 0 0 -69800
0 8388368 3160 16518 0 -7346039 0 0 -70391
0 8388382 3160 36650 0 -7347521 0 0 -70976
0 8388360 3160 56779 0 -7349015 0 0 -71562
0 8388383 3160 76906 0 -7350520 0 0 -72145
0 8388366 3160 97037 0 -7352037 0 0 -72730
0 8388385 3160 117164 0 -7353566 0 0 -73316
0 8388368 3160 137291 0 -7355107 0 0 -73908
0 8388366 3160 157423 0 -7356659 0 0 -74489
0 8388371 3160 177553 0 -7358223 0 0 -75074
0 8388371 3160 197678 0 -7359799 0 0 -75662
0 8388367 3160 217809 0 -7361387 0 0 -76248
0 8388373 3160 237937 0 -7362987 0 0 -76835
0 8388377 3160 258067 0 -7364598 0 0 -77416
0 8388366 3160 278194 0 -7366221 0 0 -78003
0 8388370 3160 298323 0 -7367856 0 0 -78589
