ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8388388 0 0 16 -8935954 0 0 0
0 8388392 0 0 16 -8942245 0 0 0
0 8388401 0 0 16 -8948535 0 0 0
0 8388387 0 0 16 -8954825 0 0 0
0 8388384 0 0 16 -8961116 0 0 0
0 8388365 0 0 16 -8967407 0 0 0
0 8388370 0 0 16 -8973696 0 0 0
0 8388375 0 0 16 -8979986 0 0 0
0 8388374 0 0 16 -8986276 0 0 0
0 8388385 0 0 16 -8992567 0 0 0
0 8388400 0 0 16 -8998857 0 0 0
0 8388380 0 0 16 -9005148 0 0 0
0 8388388 0 0 16 -9011438 0 0 0
0 8388375 0 0 16 -9017729 0 0 0
0 8388370 0 0 16 -9024018 0 0 0
0 8388393 0 0 16 -9030309 0 0 0
0 8388384 0 0 16 -9036599 0 0 0
0 8388398 0 0 16 -9042890 0 0 0
0 8388384 0 0 16 -9049179 0 0 0
0 8388368 0 0 16 -9055471 0 0 0
0 8388370 0 0 16 -9061761 0 0 0
0 8388380 0 0 16 -9068050 0 0 0
0 8388363 0 0 16 -9074341 0 0 0
0 8388379 0 0 16 -9080631 0 0 0
0 8388369 0 0 16 -9086922 0 0 0
0 8388398 0 0 16 -9093212 0 0 0
0 8388397 0 0 16 -9099503 0 0 0
0 8388391 0 0 16 -9105793 0 0 0
0 8388381 0 0 16 -9112083 0 0 0
0 8388384 0 0 16 -9118374 0 0 0
0 8388373 0 0 16 -9124665 0 0 0
0 8388382 0 0 16 -9130955 0 0 0
0 8388378 0 0 16 -9137245 0 0 0
0 8388360 0 0 16 -9143535 0 0 0
0 8388367 0 0 16 -9149826 0 0 0
0 8388364 0 0 16 -9156116 0 0 0
0 8388368 0 0 16 -9162406 0 0 0
0 8388371 0 0 16 -9168697 0 0 0
0 8388398 0 0 16 -9174987 0 0 0
0 8388359 0 0 16 -9181277 0 0 0
0 8388360 0 0 16 -9187567 0 0 0
0 8388373 0 0 16 -9193858 0 0 0
0 8388385 0 0 16 -9200148 0 0 0
0 8388380 0 0 16 -9206439 0 0 0
0 8388375 0 0 16 -9212729 0 0 0
0 8388376 0 0 16 -9219018 0 0 0
0 8388370 0 0 16 -9225309 0 0 0
0 8388380 0 0 16 -9231599 0 0 0
0 8388390 0 0 16 -9237889 0 0 0
0 8388369 0 0 16 -9244179 0 0 0
0 8388395 0 0 16 -9250470 0 0 0
0 8388374 0 0 16 -9256761 0 0 0
0 8388382 0 0 16 -9263050 0 0 0
0 8388379 0 0 16 -9269341 0 0 0
0 8388369 0 0 16 -9275631 0 0 0
0 8388363 0 0 16 -9281921 0 0 0
0 8388384 0 0 16 -9288212 0 0 0
0 8388385 0 0 16 -9294503 0 0 0
0 8388380 0 0 16 -9300793 0 0 0
0 8388366 0 0 16 -9307083 0 0 0
0 8388365 0 0 16 -9313373 0 0 0
0 8388374 0 0 16 -9319663 0 0 0
0 8388365 0 0 16 -9325954 0 0 0
0 8388369 0 0 16 -9332244 0 0 0
0 8388368 0 0 16 -9338535 0 0 0
0 8388360 0 0 16 -9344825 0 0 0
0 8388367 0 0 16 -9351116 0 0 0
0 8388369 0 0 16 -9357405 0 0 0
0 8388373 0 0 16 -9363696 0 0 0
0 8388384 0 0 16 -9369986 0 0 0
0 8388374 0 0 16 -9376277 0 0 0
0 8388387 0 0 16 -9382568 0 0 0
0 8388381 0 0 16 -9388858 0 0 0
0 8388361 0 0 16 -9395148 0 0 0
0 8388377 0 0 16 -9401439 0 0 0
0 8388388 0 0 16 -9407729 0 0 0
0 8388386 0 0 16 -9414019 0 0 0
0 8388391 0 0 16 -9420309 0 0 0
0 8388373 0 0 16 -9426600 0 0 0
0 8388384 0 0 16 -9432889 0 0 0
0 8388371 0 0 16 -9439179 0 0 0
0 8388379 0 0 16 -9445470 0 0 0
0 8388371 0 0 16 -9451760 0 0 0
0 8388353 0 0 16 -9458051 0 0 0
0 8388365 0 0 16 -9464341 0 0 0
0 8388392 0 0 16 -9470631 0 0 0
0 8388393 0 0 16 -9476922 0 0 0
0 8388381 0 0 16 -9483211 0 0 0
0 8388374 0 0 16 -9489502 0 0 0
0 8388381 0 0 16 -9495793 0 0 0
0 8388383 0 0 16 -9502083 0 0 0
0 8388378 0 0 16 -9508373 0 0 0
0 8388387 0 0 16 -9514663 0 0 0
0 8388374 0 0 16 -9520953 0 0 0
0 8388376 0 0 16 -9527243 0 0 0
0 8388376 0 0 16 -9533534 0 0 0
0 8388391 0 0 16 -9539824 0 0 0
0 8388387 0 0 16 -9546115 0 0 0
0 8388380 0 0 16 -9552405 0 0 0
0 8388366 0 0 16 -9558695 0 0 0
0 8388374 0 0 16 -9564985 0 0 0
0 8388376 0 0 16 -9571276 0 0 0
0 8388396 0 0 16 -9577566 0 0 0
0 8388398 0 0 16 -9583856 0 0 0
0 8388387 0 0 16 -9590148 0 0 0
0 8388377 0 0 16 -9596438 0 0 0
0 8388376 0 0 16 -9602729 0 0 0
0 8388415 0 0 16 -9609018 0 0 0
0 8388384 0 0 16 -9615307 0 0 0
0 8388378 0 0 16 -9621599 0 0 0
0 8388383 0 0 16 -9627889 0 0 0
0 8388386 0 0 16 -9634180 0 0 0
0 8388392 0 0 16 -9640471 0 0 0
0 8388379 0 0 16 -9646761 0 0 0
0 8388388 0 0 16 -9653050 0 0 0
0 8388363 0 0 16 -9659341 0 0 0
