ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8396212 681 806988 0 3627253 0 0 17872123
0 8396209 681 827118 0 3627226 0 0 17871989
0 8396205 681 847247 0 3627150 0 0 17871612
0 8396216 681 867375 0 3627028 0 0 17871006
0 8396210 681 887505 0 3626858 0 0 17870161
0 8396216 681 907633 0 3626641 0 0 17869083
0 8396210 681 927762 0 3626377 0 0 17867771
0 8396208 681 947893 0 3626066 0 0 17866226
0 8396223 681 968023 0 3625708 0 0 17864448
0 8396227 681 988150 0 3625302 0 0 17862431
0 8396222 682 8280 0 3624850 0 0 -11938
0 8396213 682 28408 0 3624350 0 0 -14288
0 8396214 682 48537 0 3623803 0 0 -16628
0 8396219 682 68667 16 3623228 0 0 -18878
0 8396218 682 88795 16 3622653 0 0 -20890
0 8396219 682 108924 16 3622078 0 0 -22669
0 8396224 682 129053 16 3621503 0 0 -24214
0 8396216 682 149182 16 3620928 0 0 -25525
0 8396220 682 169312 16 3620353 0 0 -26603
0 8396219 682 189439 16 3619778 0 0 -27443
0 8396222 682 209568 16 3619203 0 0 -28054
0 8396211 682 229698 16 3618628 0 0 -28427
0 8396218 682 249827 16 3618053 0 0 -28566
0 8396208 682 269957 16 3617478 0 0 -28566
0 8396223 682 290084 16 3616903 0 0 -28566
0 8396223 682 310213 16 3616328 0 0 -28566
0 8396219 682 330343 16 3615753 0 0 -28566
0 8396221 682 350475 16 3615178 0 0 -28565
0 8396214 682 370602 16 3614603 0 0 -28566
0 8396217 682 390732 16 3614028 0 0 -28565
0 8396214 682 410861 16 3613453 0 0 -28565
0 8396215 682 430990 16 3612878 0 0 -28565
0 8396215 682 451116 16 3612303 0 0 -28566
0 8396208 682 471247 16 3611728 0 0 -28566
0 8396215 682 491377 16 3611154 0 0 -28560
0 8396211 682 511504 16 3610579 0 0 -28561
0 8396212 682 531636 16 3610004 0 0 -28560
0 8396214 682 551761 16 3609429 0 0 -28561
0 8396212 682 571891 16 3608854 0 0 -28561
0 8396220 682 592020 16 3608279 0 0 -28561
0 8396215 682 612149 16 3607704 0 0 -28561
0 8396219 682 632278 16 3607129 0 0 -28561
0 8396218 682 652406 16 3606554 0 0 -28561
0 8396213 682 672535 16 3605979 0 0 -28561
0 8396214 682 692665 16 3605404 0 0 -28566
0 8396214 682 712794 16 3604829 0 0 -28566
0 8396218 682 732924 16 3604254 0 0 -28566
0 8396212 682 753052 16 3603679 0 0 -28566
0 8396208 682 773182 16 3603104 0 0 -28566
0 8396207 682 793311 16 3602529 0 0 -28566
0 8396216 682 813441 16 3601954 0 0 -28566
0 8396211 682 833568 16 3601379 0 0 -28566
0 8396214 682 853698 16 3600804 0 0 -28566
0 8396215 682 873827 16 3600229 0 0 -28566
0 8396212 682 893956 16 3599654 0 0 -28566
0 8396205 682 914085 16 3599079 0 0 -28566
0 8396218 682 934212 16 3598504 0 0 -28566
0 8396216 682 954342 16 3597929 0 0 -28566
0 8396213 682 974471 16 3597354 0 0 -28566
0 8396214 682 994600 16 3596779 0 0 -28566
0 8396213 683 14728 16 3596204 0 0 -28566
0 8396218 683 34858 16 3595629 0 0 -28566
0 8396210 683 54987 16 3595054 0 0 -28566
0 8396225 683 75116 16 3594479 0 0 -28566
0 8396216 683 95244 16 3593904 0 0 -28566
0 8396220 683 115373 16 3593329 0 0 -28566
0 8396210 683 135503 16 3592754 0 0 -28566
0 8396207 683 155634 16 3592179 0 0 -28565
0 8396217 683 175762 16 3591604 0 0 -28566
0 8396215 683 195891 16 3591029 0 0 -28566
0 8396216 683 216021 16 3590454 0 0 -28565
0 8396218 683 236148 16 3589879 0 0 -28566
0 8396213 683 256278 16 3589305 0 0 -28561
0 8396215 683 276407 16 3588730 0 0 -28561
0 8396215 683 296534 16 3588155 0 0 -28561
0 8396218 683 316664 16 3587580 0 0 -28561
0 8396211 683 336796 16 3587005 0 0 -28560
0 8396220 683 356921 16 3586430 0 0 -28561
0 8396210 683 377051 16 3585855 0 0 -28561
0 8396216 683 397180 16 3585280 0 0 -28561
0 8396223 683 417308 16 3584705 0 0 -28561
0 8396220 683 437437 16 3584130 0 0 -28561
0 8396211 683 457567 16 3583555 0 0 -28566
0 8396208 683 477696 16 3582980 0 0 -28566
0 8396212 683 497824 16 3582405 0 0 -28566
0 8396210 683 517953 16 3581830 0 0 -28566
0 8396219 683 538083 16 3581255 0 0 -28566
0 8396216 683 558213 16 3580680 0 0 -28566
0 8396215 683 578342 16 3580105 0 0 -28566
0 8396216 683 598470 16 3579530 0 0 -28566
0 8396213 683 618599 16 3578955 0 0 -28566
0 8396215 683 638729 16 3578380 0 0 -28566
0 8396216 683 658858 16 3577805 0 0 -28566
0 8396214 683 678986 16 3577230 0 0 -28566
0 8396209 683 699115 16 3576655 0 0 -28566
0 8396210 683 719245 16 3576080 0 0 -28566
0 8396210 683 739373 16 3575505 0 0 -28566
0 8396214 683 759502 16 3574930 0 0 -28566
0 8396224 683 779630 16 3574355 0 0 -28566
0 8396212 683 799759 16 3573780 0 0 -28566
0 8396223 683 819889 16 3573205 0 0 -28566
0 8396207 683 840018 16 3572630 0 0 -28566
0 8396213 683 860147 16 3572055 0 0 -28566
0 8396219 683 880276 16 3571480 0 0 -28566
0 8396216 683 900404 16 3570905 0 0 -28566
0 8396213 683 920533 16 3570330 0 0 -28566
0 8396216 683 940663 16 3569755 0 0 -28566
0 8396219 683 960792 16 3569180 0 0 -28566
0 8396223 683 980924 16 3568605 0 0 -28565
0 8396219 684 1051 16 3568030 0 0 -28565
0 8396218 684 21181 16 3567455 0 0 -28565
