ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8388500 2764 252148 8 29952 0 0 -15807227
0 8388494 2764 272277 0 3662768 0 0 2241342
0 8388489 2764 292406 0 3662741 0 0 2241208
0 8388487 2764 312535 0 3662665 0 0 2240830
0 8388503 2764 332664 0 3662543 0 0 2240224
0 8388499 2764 352793 0 3662373 0 0 2239379
0 8388494 2764 372922 0 3662156 0 0 2238301
0 8388504 2764 393051 0 3661892 0 0 2236990
0 8388500 2764 413180 0 3661581 0 0 2235445
0 8388497 2764 433309 0 3661223 0 0 2233666
0 8388499 2764 453438 0 3660817 0 0 18038877
0 8388497 2764 473567 0 3660364 0 0 -11943
0 8388492 2764 493696 0 3659865 0 0 -14288
0 8388497 2764 513824 0 3659318 0 0 -16628
0 8388490 2764 533957 16 3658743 0 0 -18878
0 8388494 2764 554086 16 3658168 0 0 -20890
0 8388500 2764 574213 16 3657593 0 0 -22669
0 8388495 2764 594340 16 3657018 0 0 -24214
0 8388496 2764 614470 16 3656443 0 0 -25525
0 8388499 2764 634600 16 3655868 0 0 -26603
0 8388497 2764 654727 16 3655293 0 0 -27443
0 8388495 2764 674857 16 3654718 0 0 -28049
0 8388499 2764 694989 16 3654143 0 0 -28426
0 8388494 2764 715114 16 3653568 0 0 -28566
0 8388487 2764 735244 16 3652993 0 0 -28566
0 8388498 2764 755372 16 3652418 0 0 -28566
0 8388501 2764 775501 16 3651843 0 0 -28566
0 8388496 2764 795631 16 3651268 0 0 -28566
0 8388498 2764 815759 16 3650693 0 0 -28566
0 8388499 2764 835888 16 3650118 0 0 -28566
0 8388491 2764 856017 16 3649543 0 0 -28566
0 8388495 2764 876147 16 3648968 0 0 -28566
0 8388502 2764 896275 16 3648393 0 0 -28566
0 8388497 2764 916404 16 3647818 0 0 -28566
0 8388495 2764 936534 16 3647243 0 0 -28566
0 8388504 2764 956662 16 3646668 0 0 -28566
0 8388495 2764 976791 16 3646093 0 0 -28566
0 8388497 2764 996921 16 3645518 0 0 -28566
0 8388500 2765 17050 16 3644943 0 0 -28565
0 8388500 2765 37178 16 3644368 0 0 -28566
