ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 111 0 0 16 3658743 0 0 0
0 115 0 0 16 3658168 0 0 0
0 121 0 0 16 3657593 0 0 0
0 116 0 0 16 3657018 0 0 0
0 117 0 0 16 3656443 0 0 0
0 120 0 0 16 3655868 0 0 0
0 118 0 0 16 3655293 0 0 0
0 116 0 0 16 3654718 0 0 0
0 120 0 0 16 3654143 0 0 0
0 115 0 0 16 3653568 0 0 0
0 108 0 0 16 3652993 0 0 0
0 119 0 0 16 3652418 0 0 0
0 122 0 0 16 3651843 0 0 0
0 117 0 0 16 3651268 0 0 0
0 119 0 0 16 3650693 0 0 0
0 120 0 0 16 3650118 0 0 0
0 112 0 0 16 3649543 0 0 0
0 116 0 0 16 3648968 0 0 0
0 123 0 0 16 3648393 0 0 0
0 118 0 0 16 3647818 0 0 0
0 116 0 0 16 3647243 0 0 0
0 125 0 0 16 3646668 0 0 0
0 116 0 0 16 3646093 0 0 0
0 118 0 0 16 3645518 0 0 0
0 121 0 0 16 3644943 0 0 0
0 121 0 0 16 3644368 0 0 0
0 116 0 0 16 3643794 0 0 0
0 111 0 0 16 3643219 0 0 0
0 115 0 0 16 3642644 0 0 0
0 121 0 0 16 3642069 0 0 0
0 121 0 0 16 3641494 0 0 0
0 107 0 0 16 3640919 0 0 0
0 115 0 0 16 3640344 0 0 0
0 124 0 0 16 3639769 0 0 0
0 119 0 0 16 3639194 0 0 0
0 110 0 0 16 3638619 0 0 0
0 122 0 0 16 3638044 0 0 0
0 114 0 0 16 3637469 0 0 0
0 114 0 0 16 3636894 0 0 0
0 125 0 0 16 3636319 0 0 0
0 118 0 0 16 3635744 0 0 0
0 115 0 0 16 3635169 0 0 0
0 113 0 0 16 3634594 0 0 0
0 120 0 0 16 3634019 0 0 0
0 117 0 0 16 3633444 0 0 0
0 123 0 0 16 3632869 0 0 0
0 117 0 0 16 3632294 0 0 0
0 120 0 0 16 3631719 0 0 0
0 109 0 0 16 3631144 0 0 0
0 117 0 0 16 3630569 0 0 0
0 115 0 0 16 3629994 0 0 0
0 117 0 0 16 3629419 0 0 0
0 129 0 0 16 3628844 0 0 0
0 122 0 0 16 3628269 0 0 0
0 116 0 0 16 3627694 0 0 0
0 125 0 0 16 3627119 0 0 0
0 118 0 0 16 3626544 0 0 0
0 123 0 0 16 3625969 0 0 0
