ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 8480275 1346 354602 0 -7928097 0 0 -39533279
0 8478747 1346 374731 0 -7928070 0 0 -39533145
0 8478762 1346 394861 0 -7927994 0 0 -39532767
0 8495040 1346 414990 0 -7927872 0 0 -39532161
0 8517373 1346 435117 0 -7927702 0 0 -39531316
0 8502137 1346 455246 0 -7927485 0 0 -39530238
0 8480797 1346 475375 0 -7927221 0 0 -39528927
0 8493309 1346 495504 0 -7926910 0 0 -39527382
0 8516132 1346 515633 0 -7926552 0 0 -39525603
0 8512138 1346 535763 0 -7926146 0 0 -39523586
0 8489192 1346 555892 0 -7925694 0 0 11938
0 8478946 1346 576023 0 -7925194 0 0 14288
0 8498643 1346 596152 0 -7924647 0 0 16627
0 8517435 1346 616281 16 -7924072 0 0 18878
0 8504696 1346 636410 16 -7923497 0 0 20890
0 8484318 1346 656539 16 -7922922 0 0 22668
0 8476790 1346 676665 16 -7922347 0 0 24214
0 8475920 1346 696796 16 -7921772 0 0 25525
0 8477574 1346 716928 16 -7921197 0 0 26603
0 8479916 1346 737053 16 -7920622 0 0 27443
0 8477003 1346 757184 16 -7920047 0 0 28054
0 8479973 1346 777310 16 -7919472 0 0 28427
0 8492958 1346 797440 16 -7918897 0 0 28566
0 8509115 1346 817569 16 -7918322 0 0 28566
0 8519864 1346 837698 16 -7917747 0 0 28566
0 8520399 1346 857827 16 -7917172 0 0 28566
0 8516421 1346 877956 16 -7916597 0 0 28566
0 8511992 1346 898085 16 -7916022 0 0 28566
0 8513139 1346 918214 16 -7915447 0 0 28566
0 8515563 1346 938343 16 -7914873 0 0 28561
0 8513474 1346 958472 16 -7914298 0 0 28561
0 8505155 1346 978601 16 -7913723 0 0 28561
0 8485582 1346 998732 16 -7913148 0 0 28560
0 8477056 1347 18861 16 -7912573 0 0 28560
0 8481012 1347 38988 16 -7911998 0 0 28561
0 8493124 1347 59117 16 -7911423 0 0 28561
0 8503802 1347 79246 16 -7910848 0 0 28561
0 8515954 1347 99375 16 -7910273 0 0 28561
0 8520398 1347 119504 16 -7909698 0 0 28561
0 8516897 1347 139633 16 -7909123 0 0 28566
0 8505515 1347 159762 16 -7908548 0 0 28566
0 8490560 1347 179890 16 -7907973 0 0 28566
0 8480626 1347 200020 16 -7907398 0 0 28566
0 8477165 1347 220149 16 -7906823 0 0 28566
0 8477650 1347 240278 16 -7906248 0 0 28566
0 8486729 1347 260407 16 -7905673 0 0 28566
0 8499058 1347 280536 16 -7905098 0 0 28566
0 8510490 1347 300664 16 -7904523 0 0 28566
0 8518371 1347 320794 16 -7903948 0 0 28566
0 8520287 1347 340922 16 -7903373 0 0 28566
0 8516506 1347 361051 16 -7902798 0 0 28566
0 8506903 1347 381184 16 -7902223 0 0 28565
0 8496232 1347 401313 16 -7901648 0 0 28565
0 8485482 1347 421442 16 -7901073 0 0 28565
0 8478275 1347 441570 16 -7900498 0 0 28565
0 8476307 1347 461699 16 -7899923 0 0 28565
0 8479939 1347 481826 16 -7899348 0 0 28566
0 8490194 1347 501956 16 -7898773 0 0 28565
0 8501943 1347 522085 16 -7898198 0 0 28566
0 8509814 1347 542212 16 -7897623 0 0 28566
0 8518037 1347 562345 16 -7897048 0 0 28565
0 8520718 1347 582472 16 -7896473 0 0 28566
0 8518489 1347 602601 16 -7895898 0 0 28566
0 8511267 1347 622730 16 -7895323 0 0 28566
0 8500510 1347 642859 16 -7894748 0 0 28566
0 8490053 1347 662988 16 -7894173 0 0 28566
0 8481793 1347 683115 16 -7893598 0 0 28566
0 8477256 1347 703244 16 -7893023 0 0 28566
0 8476849 1347 723375 16 -7892449 0 0 28561
0 8480907 1347 743504 16 -7891874 0 0 28561
0 8489825 1347 763633 16 -7891299 0 0 28561
0 8501774 1347 783762 16 -7890724 0 0 28561
0 8510150 1347 803891 16 -7890149 0 0 28561
0 8517187 1347 824020 16 -7889574 0 0 28561
0 8520209 1347 844147 16 -7888999 0 0 28561
0 8520338 1347 864278 16 -7888424 0 0 28561
0 8516785 1347 884407 16 -7887849 0 0 28561
0 8509340 1347 904536 16 -7887274 0 0 28561
0 8501714 1347 924665 16 -7886699 0 0 28566
0 8493541 1347 944794 16 -7886124 0 0 28566
0 8485667 1347 964921 16 -7885549 0 0 28566
0 8479966 1347 985050 16 -7884974 0 0 28566
0 8476839 1348 5179 16 -7884399 0 0 28566
0 8477389 1348 25308 16 -7883824 0 0 28566
0 8481454 1348 45437 16 -7883249 0 0 28566
0 8488132 1348 65568 16 -7882674 0 0 28566
0 8494759 1348 85696 16 -7882099 0 0 28566
0 8502688 1348 105826 16 -7881524 0 0 28566
0 8511428 1348 125954 16 -7880949 0 0 28566
0 8517436 1348 146083 16 -7880374 0 0 28566
0 8520265 1348 166212 16 -7879799 0 0 28566
0 8520105 1348 186341 16 -7879224 0 0 28566
0 8517640 1348 206472 16 -7878649 0 0 28565
0 8512980 1348 226601 16 -7878074 0 0 28565
0 8506741 1348 246730 16 -7877499 0 0 28565
0 8499886 1348 266857 16 -7876924 0 0 28566
0 8493051 1348 286988 16 -7876349 0 0 28565
0 8484723 1348 307117 16 -7875774 0 0 28566
0 8479537 1348 327243 16 -7875199 0 0 28566
0 8476733 1348 347374 16 -7874624 0 0 28566
0 8476775 1348 367506 16 -7874049 0 0 28565
0 8479417 1348 387633 16 -7873474 0 0 28566
0 8485373 1348 407762 16 -7872899 0 0 28566
0 8494450 1348 427889 16 -7872324 0 0 28566
0 8500382 1348 448018 16 -7871749 0 0 28566
0 8508301 1348 468147 16 -7871174 0 0 28566
0 8514625 1348 488276 16 -7870600 0 0 28561
0 8518064 1348 508405 16 -7870025 0 0 28561
0 8520294 1348 528534 16 -7869450 0 0 28561
0 8519865 1348 548663 16 -7868875 0 0 28561
0 8517533 1348 568792 16 -7868300 0 0 28561
0 8511965 1348 588921 16 -7867725 0 0 28561
0 8505621 1348 609050 16 -7867150 0 0 28561
0 8500060 1348 629179 16 -7866575 0 0 28561
0 8492739 1348 649308 16 -7866000 0 0 28561
0 8485104 1348 669437 16 -7865425 0 0 28561
0 8480605 1348 689566 16 -7864850 0 0 28566
0 8477443 1348 709695 16 -7864275 0 0 28566
0 8476415 1348 729824 16 -7863700 0 0 28566
0 8476751 1348 749953 16 -7863125 0 0 28566
0 8479952 1348 770082 16 -7862550 0 0 28566
0 8485727 1348 790212 16 -7861975 0 0 28565
0 8491029 1348 810340 16 -7861400 0 0 28566
0 8497065 1348 830469 16 -7860825 0 0 28566
0 8503126 1348 850597 16 -7860250 0 0 28566
0 8509120 1348 870727 16 -7859675 0 0 28566
0 8515155 1348 890855 16 -7859100 0 0 28566
0 8519257 1348 910984 16 -7858525 0 0 28566
0 8520535 1348 931114 16 -7857950 0 0 28566
0 8520390 1348 951243 16 -7857375 0 0 28566
0 8519188 1348 971372 16 -7856800 0 0 28566
0 8516654 1348 991501 16 -7856225 0 0 28566
0 8512338 1349 11632 16 -7855650 0 0 28565
0 8506159 1349 31761 16 -7855075 0 0 28565
0 8499763 1349 51889 16 -7854500 0 0 28565
0 8493058 1349 72018 16 -7853925 0 0 28566
0 8488439 1349 92149 16 -7853350 0 0 28565
0 8484278 1349 112277 16 -7852775 0 0 28565
0 8480289 1349 132404 16 -7852200 0 0 28566
0 8477533 1349 152535 16 -7851625 0 0 28565
0 8476464 1349 172665 16 -7851050 0 0 28565
0 8477129 1349 192792 16 -7850475 0 0 28566
0 8478748 1349 212919 16 -7849900 0 0 28566
0 8481751 1349 233050 16 -7849325 0 0 28566
0 8486474 1349 253179 16 -7848751 0 0 28561
0 8493971 1349 273308 16 -7848176 0 0 28561
0 8500901 1349 293437 16 -7847601 0 0 28561
0 8506874 1349 313566 16 -7847026 0 0 28561
0 8510831 1349 333695 16 -7846451 0 0 28561
0 8514596 1349 353824 16 -7845876 0 0 28561
0 8517257 1349 373953 16 -7845301 0 0 28561
0 8519796 1349 394080 16 -7844726 0 0 28561
0 8520351 1349 414209 16 -7844151 0 0 28561
0 8519090 1349 434338 16 -7843576 0 0 28561
0 8517666 1349 454467 16 -7843001 0 0 28566
0 8515311 1349 474598 16 -7842426 0 0 28566
0 8510681 1349 494727 16 -7841851 0 0 28566
0 8506240 1349 514856 16 -7841276 0 0 28566
0 8501772 1349 534985 16 -7840701 0 0 28566
0 8497732 1349 555114 16 -7840126 0 0 28566
0 8491700 1349 575241 16 -7839551 0 0 28566
0 8487697 1349 595370 16 -7838976 0 0 28566
0 8485077 1349 615501 16 -7838401 0 0 28565
0 8481835 1349 635629 16 -7837826 0 0 28566
0 8478552 1349 655759 16 -7837251 0 0 28565
0 8476746 1349 675887 16 -7836676 0 0 28566
0 8476631 1349 696016 16 -7836101 0 0 28566
0 8477735 1349 716145 16 -7835526 0 0 28566
0 8479172 1349 736273 16 -7834951 0 0 28566
0 8481397 1349 756402 16 -7834376 0 0 28566
0 8485159 1349 776533 16 -7833801 0 0 28565
0 8492521 1349 796661 16 -7833226 0 0 28566
0 8497662 1349 816792 16 -7832651 0 0 28566
0 8500745 1349 836921 16 -7832076 0 0 28565
0 8504702 1349 857050 16 -7831501 0 0 28566
0 8509607 1349 877178 16 -7830926 0 0 28566
0 8514102 1349 897307 16 -7830351 0 0 28566
0 8516114 1349 917434 16 -7829776 0 0 28566
0 8518699 1349 937565 16 -7829201 0 0 28565
0 8519685 1349 957696 16 -7828626 0 0 28565
0 8520387 1349 977822 16 -7828051 0 0 28566
0 8520371 1349 997953 16 -7827476 0 0 28565
