ADC1 ADC2 tv_sec tv_usec M_STAT M_POS LVDT_DL LVDT actual_speed
0 129056 0 0 16 -7924072 0 0 0
0 116317 0 0 16 -7923497 0 0 0
0 95939 0 0 16 -7922922 0 0 0
0 88411 0 0 16 -7922347 0 0 0
0 87541 0 0 16 -7921772 0 0 0
0 89195 0 0 16 -7921197 0 0 0
0 91537 0 0 16 -7920622 0 0 0
0 88624 0 0 16 -7920047 0 0 0
0 91594 0 0 16 -7919472 0 0 0
0 104579 0 0 16 -7918897 0 0 0
0 120736 0 0 16 -7918322 0 0 0
0 131485 0 0 16 -7917747 0 0 0
0 132020 0 0 16 -7917172 0 0 0
0 128042 0 0 16 -7916597 0 0 0
0 123613 0 0 16 -7916022 0 0 0
0 124760 0 0 16 -7915447 0 0 0
0 127184 0 0 16 -7914873 0 0 0
0 125095 0 0 16 -7914298 0 0 0
0 116776 0 0 16 -7913723 0 0 0
0 97203 0 0 16 -7913148 0 0 0
0 88677 0 0 16 -7912573 0 0 0
0 92633 0 0 16 -7911998 0 0 0
0 104745 0 0 16 -7911423 0 0 0
0 115423 0 0 16 -7910848 0 0 0
0 127575 0 0 16 -7910273 0 0 0
0 132019 0 0 16 -7909698 0 0 0
0 128518 0 0 16 -7909123 0 0 0
0 117136 0 0 16 -7908548 0 0 0
0 102181 0 0 16 -7907973 0 0 0
0 92247 0 0 16 -7907398 0 0 0
0 88786 0 0 16 -7906823 0 0 0
0 89271 0 0 16 -7906248 0 0 0
0 98350 0 0 16 -7905673 0 0 0
0 110679 0 0 16 -7905098 0 0 0
0 122111 0 0 16 -7904523 0 0 0
0 129992 0 0 16 -7903948 0 0 0
0 131908 0 0 16 -7903373 0 0 0
0 128127 0 0 16 -7902798 0 0 0
0 118524 0 0 16 -7902223 0 0 0
0 107853 0 0 16 -7901648 0 0 0
0 97103 0 0 16 -7901073 0 0 0
0 89896 0 0 16 -7900498 0 0 0
0 87928 0 0 16 -7899923 0 0 0
0 91560 0 0 16 -7899348 0 0 0
0 101815 0 0 16 -7898773 0 0 0
0 113564 0 0 16 -7898198 0 0 0
0 121435 0 0 16 -7897623 0 0 0
0 129658 0 0 16 -7897048 0 0 0
0 132339 0 0 16 -7896473 0 0 0
0 130110 0 0 16 -7895898 0 0 0
0 122888 0 0 16 -7895323 0 0 0
0 112131 0 0 16 -7894748 0 0 0
0 101674 0 0 16 -7894173 0 0 0
0 93414 0 0 16 -7893598 0 0 0
0 88877 0 0 16 -7893023 0 0 0
0 88470 0 0 16 -7892449 0 0 0
0 92528 0 0 16 -7891874 0 0 0
0 101446 0 0 16 -7891299 0 0 0
0 113395 0 0 16 -7890724 0 0 0
